 time            v(vin)          v(vout)        
 4.32800000e-05  7.52685970e-01  4.51833577e-01 
 4.42800000e-05  7.52746440e-01  4.50244920e-01 
 4.52800000e-05  7.52806801e-01  4.48674162e-01 
 4.62800000e-05  7.52867051e-01  4.47121245e-01 
 4.72800000e-05  7.52927189e-01  4.45586099e-01 
 4.82800000e-05  7.52987210e-01  4.44068653e-01 
 4.92800000e-05  7.53047114e-01  4.42568825e-01 
 5.02800000e-05  7.53106897e-01  4.41086528e-01 
 5.12800000e-05  7.53166558e-01  4.39621668e-01 
 5.22800000e-05  7.53226093e-01  4.38174145e-01 
 5.32800000e-05  7.53285502e-01  4.36743855e-01 
 5.42800000e-05  7.53344780e-01  4.35330686e-01 
 5.52800000e-05  7.53403927e-01  4.33934522e-01 
 5.62800000e-05  7.53462939e-01  4.32555242e-01 
 5.72800000e-05  7.53521814e-01  4.31192720e-01 
 5.82800000e-05  7.53580551e-01  4.29846825e-01 
 5.92800000e-05  7.53639146e-01  4.28517422e-01 
 6.02800000e-05  7.53697597e-01  4.27204374e-01 
 6.12800000e-05  7.53755903e-01  4.25907537e-01 
 6.22800000e-05  7.53814060e-01  4.24626766e-01 
 6.32800000e-05  7.53872066e-01  4.23361913e-01 
 6.42800000e-05  7.53929920e-01  4.22112826e-01 
 6.52800000e-05  7.53987619e-01  4.20879350e-01 
 6.62800000e-05  7.54045160e-01  4.19661330e-01 
 6.72800000e-05  7.54102541e-01  4.18458606e-01 
 6.82800000e-05  7.54159761e-01  4.17271019e-01 
 6.92800000e-05  7.54216816e-01  4.16098406e-01 
 7.02800000e-05  7.54273705e-01  4.14940604e-01 
 7.12800000e-05  7.54330425e-01  4.13797449e-01 
 7.22800000e-05  7.54386974e-01  4.12668775e-01 
 7.32800000e-05  7.54443350e-01  4.11554417e-01 
 7.42800000e-05  7.54499550e-01  4.10454207e-01 
 7.52800000e-05  7.54555573e-01  4.09367980e-01 
 7.62800000e-05  7.54611416e-01  4.08295568e-01 
 7.72800000e-05  7.54667077e-01  4.07236803e-01 
 7.82800000e-05  7.54722554e-01  4.06191521e-01 
 7.92800000e-05  7.54777844e-01  4.05159553e-01 
 8.02800000e-05  7.54832946e-01  4.04140734e-01 
 8.12800000e-05  7.54887857e-01  4.03134900e-01 
 8.22800000e-05  7.54942575e-01  4.02141885e-01 
 8.32800000e-05  7.54997098e-01  4.01161527e-01 
 8.42800000e-05  7.55051423e-01  4.00193662e-01 
 8.52800000e-05  7.55105549e-01  3.99238130e-01 
 8.62800000e-05  7.55159474e-01  3.98294770e-01 
 8.72800000e-05  7.55213195e-01  3.97363424e-01 
 8.82800000e-05  7.55266710e-01  3.96443934e-01 
 8.92800000e-05  7.55320017e-01  3.95536144e-01 
 9.02800000e-05  7.55373114e-01  3.94639900e-01 
 9.12800000e-05  7.55425999e-01  3.93755050e-01 
 9.22800000e-05  7.55478670e-01  3.92881441e-01 
 9.32800000e-05  7.55531124e-01  3.92018926e-01 
 9.42800000e-05  7.55583360e-01  3.91167357e-01 
 9.52800000e-05  7.55635376e-01  3.90326587e-01 
 9.62800000e-05  7.55687169e-01  3.89496473e-01 
 9.72800000e-05  7.55738738e-01  3.88676873e-01 
 9.82800000e-05  7.55790080e-01  3.87867648e-01 
 9.92800000e-05  7.55841193e-01  3.87068659e-01 
 1.00280000e-04  7.55892076e-01  3.86279769e-01 
 1.01280000e-04  7.55942727e-01  3.85500846e-01 
 1.02280000e-04  7.55993142e-01  3.84731756e-01 
 1.03280000e-04  7.56043322e-01  3.83972370e-01 
 1.04280000e-04  7.56093262e-01  3.83222560e-01 
 1.05280000e-04  7.56142962e-01  3.82482199e-01 
 1.06280000e-04  7.56192420e-01  3.81751163e-01 
 1.07280000e-04  7.56241633e-01  3.81029331e-01 
 1.08280000e-04  7.56290599e-01  3.80316582e-01 
 1.09280000e-04  7.56339318e-01  3.79612799e-01 
 1.10280000e-04  7.56387786e-01  3.78917864e-01 
 1.11280000e-04  7.56436001e-01  3.78231665e-01 
 1.12280000e-04  7.56483963e-01  3.77554088e-01 
 1.13280000e-04  7.56531669e-01  3.76885024e-01 
 1.14280000e-04  7.56579117e-01  3.76224364e-01 
 1.15280000e-04  7.56626305e-01  3.75572002e-01 
 1.16280000e-04  7.56673232e-01  3.74927834e-01 
 1.17280000e-04  7.56719895e-01  3.74291757e-01 
 1.18280000e-04  7.56766293e-01  3.73663670e-01 
 1.19280000e-04  7.56812423e-01  3.73043475e-01 
 1.20280000e-04  7.56858285e-01  3.72431073e-01 
 1.21280000e-04  7.56903876e-01  3.71826371e-01 
 1.22280000e-04  7.56949195e-01  3.71229274e-01 
 1.23280000e-04  7.56994239e-01  3.70639692e-01 
 1.24280000e-04  7.57039007e-01  3.70057532e-01 
 1.25280000e-04  7.57083497e-01  3.69482709e-01 
 1.26280000e-04  7.57127707e-01  3.68915134e-01 
 1.27280000e-04  7.57171637e-01  3.68354722e-01 
 1.28280000e-04  7.57215282e-01  3.67801392e-01 
 1.29280000e-04  7.57258644e-01  3.67255059e-01 
 1.30280000e-04  7.57301718e-01  3.66715645e-01 
 1.31280000e-04  7.57344504e-01  3.66183071e-01 
 1.32280000e-04  7.57387001e-01  3.65657259e-01 
 1.33280000e-04  7.57429206e-01  3.65138135e-01 
 1.34280000e-04  7.57471117e-01  3.64625623e-01 
 1.35280000e-04  7.57512733e-01  3.64119651e-01 
 1.36280000e-04  7.57554053e-01  3.63620148e-01 
 1.37280000e-04  7.57595075e-01  3.63127044e-01 
 1.38280000e-04  7.57635797e-01  3.62640270e-01 
 1.39280000e-04  7.57676217e-01  3.62159759e-01 
 1.40280000e-04  7.57716335e-01  3.61685446e-01 
 1.41280000e-04  7.57756147e-01  3.61217266e-01 
 1.42280000e-04  7.57795654e-01  3.60755155e-01 
 1.43280000e-04  7.57834853e-01  3.60299052e-01 
 1.44280000e-04  7.57873742e-01  3.59848896e-01 
 1.45280000e-04  7.57912321e-01  3.59404627e-01 
 1.46280000e-04  7.57950587e-01  3.58966187e-01 
 1.47280000e-04  7.57988539e-01  3.58533519e-01 
 1.48280000e-04  7.58026176e-01  3.58106567e-01 
 1.49280000e-04  7.58063496e-01  3.57685276e-01 
 1.50280000e-04  7.58100498e-01  3.57269592e-01 
 1.51280000e-04  7.58137180e-01  3.56859462e-01 
 1.52280000e-04  7.58173541e-01  3.56454835e-01 
 1.53280000e-04  7.58209579e-01  3.56055660e-01 
 1.54280000e-04  7.58245293e-01  3.55661888e-01 
 1.55280000e-04  7.58280682e-01  3.55273470e-01 
 1.56280000e-04  7.58315743e-01  3.54890358e-01 
 1.57280000e-04  7.58350476e-01  3.54512505e-01 
 1.58280000e-04  7.58384880e-01  3.54139867e-01 
 1.59280000e-04  7.58418953e-01  3.53772398e-01 
 1.60280000e-04  7.58452693e-01  3.53410055e-01 
 1.61280000e-04  7.58486099e-01  3.53052794e-01 
 1.62280000e-04  7.58519171e-01  3.52700574e-01 
 1.63280000e-04  7.58551906e-01  3.52353353e-01 
 1.64280000e-04  7.58584304e-01  3.52011091e-01 
 1.65280000e-04  7.58616362e-01  3.51673748e-01 
 1.66280000e-04  7.58648081e-01  3.51341287e-01 
 1.67280000e-04  7.58679458e-01  3.51013668e-01 
 1.68280000e-04  7.58710493e-01  3.50690855e-01 
 1.69280000e-04  7.58741183e-01  3.50372812e-01 
 1.70280000e-04  7.58771529e-01  3.50059502e-01 
 1.71280000e-04  7.58801528e-01  3.49750892e-01 
 1.72280000e-04  7.58831180e-01  3.49446946e-01 
 1.73280000e-04  7.58860483e-01  3.49147633e-01 
 1.74280000e-04  7.58889436e-01  3.48852918e-01 
 1.75280000e-04  7.58918038e-01  3.48562770e-01 
 1.76280000e-04  7.58946289e-01  3.48277158e-01 
 1.77280000e-04  7.58974186e-01  3.47996051e-01 
 1.78280000e-04  7.59001729e-01  3.47719419e-01 
 1.79280000e-04  7.59028916e-01  3.47447233e-01 
 1.80280000e-04  7.59055747e-01  3.47179464e-01 
 1.81280000e-04  7.59082221e-01  3.46916084e-01 
 1.82280000e-04  7.59108336e-01  3.46656680e-01 
 1.83280000e-04  7.59134091e-01  3.46401998e-01 
 1.84280000e-04  7.59159486e-01  3.46151997e-01 
 1.85280000e-04  7.59184519e-01  3.45905916e-01 
 1.86280000e-04  7.59209190e-01  3.45664078e-01 
 1.87280000e-04  7.59233497e-01  3.45426152e-01 
 1.88280000e-04  7.59257439e-01  3.45192761e-01 
 1.89280000e-04  7.59281016e-01  3.44963567e-01 
 1.90280000e-04  7.59304227e-01  3.44738824e-01 
 1.91280000e-04  7.59327070e-01  3.44517929e-01 
 1.92280000e-04  7.59349545e-01  3.44300871e-01 
 1.93280000e-04  7.59371651e-01  3.44088444e-01 
 1.94280000e-04  7.59393387e-01  3.43879590e-01 
 1.95280000e-04  7.59414753e-01  3.43675034e-01 
 1.96280000e-04  7.59435746e-01  3.43474755e-01 
 1.97280000e-04  7.59456367e-01  3.43278258e-01 
 1.98280000e-04  7.59476615e-01  3.43085749e-01 
 1.99280000e-04  7.59496488e-01  3.42897221e-01 
 2.00280000e-04  7.59515987e-01  3.42712458e-01 
 2.01280000e-04  7.59535110e-01  3.42531838e-01 
 2.02280000e-04  7.59553856e-01  3.42355150e-01 
 2.03280000e-04  7.59572226e-01  3.42182371e-01 
 2.04280000e-04  7.59590217e-01  3.42013649e-01 
 2.05280000e-04  7.59607830e-01  3.41848481e-01 
 2.06280000e-04  7.59625064e-01  3.41687478e-01 
 2.07280000e-04  7.59641917e-01  3.41530035e-01 
 2.08280000e-04  7.59658390e-01  3.41376563e-01 
 2.09280000e-04  7.59674482e-01  3.41226915e-01 
 2.10280000e-04  7.59690192e-01  3.41081071e-01 
 2.11280000e-04  7.59705519e-01  3.40939134e-01 
 2.12280000e-04  7.59720463e-01  3.40800746e-01 
 2.13280000e-04  7.59735023e-01  3.40666233e-01 
 2.14280000e-04  7.59749199e-01  3.40535478e-01 
 2.15280000e-04  7.59762990e-01  3.40408464e-01 
 2.16280000e-04  7.59776396e-01  3.40285268e-01 
 2.17280000e-04  7.59789416e-01  3.40165618e-01 
 2.18280000e-04  7.59802049e-01  3.40049758e-01 
 2.19280000e-04  7.59814295e-01  3.39937672e-01 
 2.20280000e-04  7.59826154e-01  3.39829199e-01 
 2.21280000e-04  7.59837625e-01  3.39724338e-01 
 2.22280000e-04  7.59848707e-01  3.39623212e-01 
 2.23280000e-04  7.59859401e-01  3.39525804e-01 
 2.24280000e-04  7.59869705e-01  3.39431989e-01 
 2.25280000e-04  7.59879620e-01  3.39341769e-01 
 2.26280000e-04  7.59889145e-01  3.39255233e-01 
 2.27280000e-04  7.59898279e-01  3.39172327e-01 
 2.28280000e-04  7.59907023e-01  3.39093077e-01 
 2.29280000e-04  7.59915376e-01  3.39017402e-01 
 2.30280000e-04  7.59923337e-01  3.38945302e-01 
 2.31280000e-04  7.59930906e-01  3.38876836e-01 
 2.32280000e-04  7.59938083e-01  3.38811965e-01 
 2.33280000e-04  7.59944868e-01  3.38750682e-01 
 2.34280000e-04  7.59951260e-01  3.38692984e-01 
 2.35280000e-04  7.59957260e-01  3.38638863e-01 
 2.36280000e-04  7.59962866e-01  3.38588332e-01 
 2.37280000e-04  7.59968079e-01  3.38541340e-01 
 2.38280000e-04  7.59972899e-01  3.38497928e-01 
 2.39280000e-04  7.59977325e-01  3.38458079e-01 
 2.40280000e-04  7.59981357e-01  3.38421787e-01 
 2.41280000e-04  7.59984994e-01  3.38389057e-01 
 2.42280000e-04  7.59988238e-01  3.38359867e-01 
 2.43280000e-04  7.59991087e-01  3.38334232e-01 
 2.44280000e-04  7.59993542e-01  3.38312145e-01 
 2.45280000e-04  7.59995603e-01  3.38293604e-01 
 2.46280000e-04  7.59997269e-01  3.38278607e-01 
 2.47280000e-04  7.59998540e-01  3.38267153e-01 
 2.48280000e-04  7.59999416e-01  3.38259241e-01 
 2.49280000e-04  7.59999898e-01  3.38254869e-01 
 2.50280000e-04  7.59999985e-01  3.38254039e-01 
 2.51280000e-04  7.59999677e-01  3.38256749e-01 
 2.52280000e-04  7.59998974e-01  3.38263000e-01 
 2.53280000e-04  7.59997876e-01  3.38272792e-01 
 2.54280000e-04  7.59996384e-01  3.38286127e-01 
 2.55280000e-04  7.59994498e-01  3.38303005e-01 
 2.56280000e-04  7.59992216e-01  3.38323428e-01 
 2.57280000e-04  7.59989540e-01  3.38347398e-01 
 2.58280000e-04  7.59986470e-01  3.38374916e-01 
 2.59280000e-04  7.59983006e-01  3.38405985e-01 
 2.60280000e-04  7.59979147e-01  3.38440607e-01 
 2.61280000e-04  7.59974895e-01  3.38478787e-01 
 2.62280000e-04  7.59970248e-01  3.38520526e-01 
 2.63280000e-04  7.59965208e-01  3.38565829e-01 
 2.64280000e-04  7.59959775e-01  3.38614699e-01 
 2.65280000e-04  7.59953949e-01  3.38667141e-01 
 2.66280000e-04  7.59947729e-01  3.38723159e-01 
 2.67280000e-04  7.59941117e-01  3.38782757e-01 
 2.68280000e-04  7.59934112e-01  3.38845942e-01 
 2.69280000e-04  7.59926715e-01  3.38912719e-01 
 2.70280000e-04  7.59918927e-01  3.38983093e-01 
 2.71280000e-04  7.59910746e-01  3.39057070e-01 
 2.72280000e-04  7.59902175e-01  3.39134658e-01 
 2.73280000e-04  7.59893212e-01  3.39215862e-01 
 2.74280000e-04  7.59883859e-01  3.39300689e-01 
 2.75280000e-04  7.59874116e-01  3.39389149e-01 
 2.76280000e-04  7.59863983e-01  3.39481247e-01 
 2.77280000e-04  7.59853460e-01  3.39576992e-01 
 2.78280000e-04  7.59842549e-01  3.39676393e-01 
 2.79280000e-04  7.59831249e-01  3.39779458e-01 
 2.80280000e-04  7.59819561e-01  3.39886197e-01 
 2.81280000e-04  7.59807485e-01  3.39996618e-01 
 2.82280000e-04  7.59795022e-01  3.40110733e-01 
 2.83280000e-04  7.59782172e-01  3.40228550e-01 
 2.84280000e-04  7.59768936e-01  3.40350081e-01 
 2.85280000e-04  7.59755315e-01  3.40475336e-01 
 2.86280000e-04  7.59741308e-01  3.40604327e-01 
 2.87280000e-04  7.59726917e-01  3.40737065e-01 
 2.88280000e-04  7.59712142e-01  3.40873562e-01 
 2.89280000e-04  7.59696983e-01  3.41013832e-01 
 2.90280000e-04  7.59681441e-01  3.41157886e-01 
 2.91280000e-04  7.59665518e-01  3.41305737e-01 
 2.92280000e-04  7.59649212e-01  3.41457400e-01 
 2.93280000e-04  7.59632526e-01  3.41612888e-01 
 2.94280000e-04  7.59615460e-01  3.41772215e-01 
 2.95280000e-04  7.59598014e-01  3.41935397e-01 
 2.96280000e-04  7.59580189e-01  3.42102448e-01 
 2.97280000e-04  7.59561986e-01  3.42273385e-01 
 2.98280000e-04  7.59543405e-01  3.42448222e-01 
 2.99280000e-04  7.59524447e-01  3.42626977e-01 
 3.00280000e-04  7.59505114e-01  3.42809859e-01 
 3.01280000e-04  7.59485405e-01  3.42996315e-01 
 3.02280000e-04  7.59465322e-01  3.43186918e-01 
 3.03280000e-04  7.59444865e-01  3.43381518e-01 
 3.04280000e-04  7.59424036e-01  3.43580123e-01 
 3.05280000e-04  7.59402834e-01  3.43782991e-01 
 3.06280000e-04  7.59381261e-01  3.43989438e-01 
 3.07280000e-04  7.59359317e-01  3.44200170e-01 
 3.08280000e-04  7.59337005e-01  3.44415265e-01 
 3.09280000e-04  7.59314323e-01  3.44633943e-01 
 3.10280000e-04  7.59291274e-01  3.44856996e-01 
 3.11280000e-04  7.59267858e-01  3.45084212e-01 
 3.12280000e-04  7.59244076e-01  3.45315907e-01 
 3.13280000e-04  7.59219930e-01  3.45551512e-01 
 3.14280000e-04  7.59195419e-01  3.45790997e-01 
 3.15280000e-04  7.59170545e-01  3.46035377e-01 
 3.16280000e-04  7.59145309e-01  3.46283367e-01 
 3.17280000e-04  7.59119712e-01  3.46535967e-01 
 3.18280000e-04  7.59093756e-01  3.46793283e-01 
 3.19280000e-04  7.59067440e-01  3.47054198e-01 
 3.20280000e-04  7.59040766e-01  3.47319839e-01 
 3.21280000e-04  7.59013735e-01  3.47589899e-01 
 3.22280000e-04  7.58986348e-01  3.47864820e-01 
 3.23280000e-04  7.58958607e-01  3.48143795e-01 
 3.24280000e-04  7.58930512e-01  3.48427244e-01 
 3.25280000e-04  7.58902064e-01  3.48714742e-01 
 3.26280000e-04  7.58873265e-01  3.49007723e-01 
 3.27280000e-04  7.58844116e-01  3.49304846e-01 
 3.28280000e-04  7.58814618e-01  3.49606562e-01 
 3.29280000e-04  7.58784771e-01  3.49912393e-01 
 3.30280000e-04  7.58754578e-01  3.50223959e-01 
 3.31280000e-04  7.58724039e-01  3.50539175e-01 
 3.32280000e-04  7.58693156e-01  3.50860236e-01 
 3.33280000e-04  7.58661929e-01  3.51185559e-01 
 3.34280000e-04  7.58630361e-01  3.51515680e-01 
 3.35280000e-04  7.58598451e-01  3.51850665e-01 
 3.36280000e-04  7.58566203e-01  3.52190550e-01 
 3.37280000e-04  7.58533616e-01  3.52535372e-01 
 3.38280000e-04  7.58500692e-01  3.52885173e-01 
 3.39280000e-04  7.58467433e-01  3.53239993e-01 
 3.40280000e-04  7.58433839e-01  3.53599873e-01 
 3.41280000e-04  7.58399913e-01  3.53964856e-01 
 3.42280000e-04  7.58365655e-01  3.54334209e-01 
 3.43280000e-04  7.58331066e-01  3.54710278e-01 
 3.44280000e-04  7.58296149e-01  3.55090865e-01 
 3.45280000e-04  7.58260904e-01  3.55476696e-01 
 3.46280000e-04  7.58225333e-01  3.55867861e-01 
 3.47280000e-04  7.58189438e-01  3.56264403e-01 
 3.48280000e-04  7.58153219e-01  3.56666370e-01 
 3.49280000e-04  7.58116678e-01  3.57073814e-01 
 3.50280000e-04  7.58079817e-01  3.57486784e-01 
 3.51280000e-04  7.58042636e-01  3.57905334e-01 
 3.52280000e-04  7.58005139e-01  3.58329515e-01 
 3.53280000e-04  7.57967325e-01  3.58759383e-01 
 3.54280000e-04  7.57929196e-01  3.59194993e-01 
 3.55280000e-04  7.57890755e-01  3.59636401e-01 
 3.56280000e-04  7.57852002e-01  3.60083666e-01 
 3.57280000e-04  7.57812939e-01  3.60536845e-01 
 3.58280000e-04  7.57773568e-01  3.60995999e-01 
 3.59280000e-04  7.57733890e-01  3.61461190e-01 
 3.60280000e-04  7.57693906e-01  3.61932479e-01 
 3.61280000e-04  7.57653619e-01  3.62409931e-01 
 3.62280000e-04  7.57613030e-01  3.62893610e-01 
 3.63280000e-04  7.57572140e-01  3.63383584e-01 
 3.64280000e-04  7.57530951e-01  3.63879919e-01 
 3.65280000e-04  7.57489465e-01  3.64382686e-01 
 3.66280000e-04  7.57447683e-01  3.64891953e-01 
 3.67280000e-04  7.57405607e-01  3.65407794e-01 
 3.68280000e-04  7.57363239e-01  3.65930282e-01 
 3.69280000e-04  7.57320580e-01  3.66459490e-01 
 3.70280000e-04  7.57277632e-01  3.66995497e-01 
 3.71280000e-04  7.57234397e-01  3.67538378e-01 
 3.72280000e-04  7.57190876e-01  3.68088215e-01 
 3.73280000e-04  7.57147071e-01  3.68645086e-01 
 3.74280000e-04  7.57102984e-01  3.69209076e-01 
 3.75280000e-04  7.57058617e-01  3.69780268e-01 
 3.76280000e-04  7.57013971e-01  3.70358747e-01 
 3.77280000e-04  7.56969048e-01  3.70944601e-01 
 3.78280000e-04  7.56923850e-01  3.71537920e-01 
 3.79280000e-04  7.56878379e-01  3.72138792e-01 
 3.80280000e-04  7.56832636e-01  3.72747313e-01 
 3.81280000e-04  7.56786623e-01  3.73363574e-01 
 3.82280000e-04  7.56740343e-01  3.73987673e-01 
 3.83280000e-04  7.56693796e-01  3.74619706e-01 
 3.84280000e-04  7.56646985e-01  3.75259775e-01 
 3.85280000e-04  7.56599912e-01  3.75907979e-01 
 3.86280000e-04  7.56552578e-01  3.76564423e-01 
 3.87280000e-04  7.56504985e-01  3.77229212e-01 
 3.88280000e-04  7.56457136e-01  3.77902452e-01 
 3.89280000e-04  7.56409032e-01  3.78584253e-01 
 3.90280000e-04  7.56360674e-01  3.79274725e-01 
 3.91280000e-04  7.56312066e-01  3.79973982e-01 
 3.92280000e-04  7.56263208e-01  3.80682137e-01 
 3.93280000e-04  7.56214104e-01  3.81399309e-01 
 3.94280000e-04  7.56164753e-01  3.82125616e-01 
 3.95280000e-04  7.56115160e-01  3.82861178e-01 
 3.96280000e-04  7.56065325e-01  3.83606119e-01 
 3.97280000e-04  7.56015251e-01  3.84360562e-01 
 3.98280000e-04  7.55964939e-01  3.85124636e-01 
 3.99280000e-04  7.55914391e-01  3.85898468e-01 
 4.00280000e-04  7.55863610e-01  3.86682189e-01 
 4.01280000e-04  7.55812598e-01  3.87475933e-01 
 4.02280000e-04  7.55761356e-01  3.88279833e-01 
 4.03280000e-04  7.55709887e-01  3.89094027e-01 
 4.04280000e-04  7.55658192e-01  3.89918653e-01 
 4.05280000e-04  7.55606274e-01  3.90753852e-01 
 4.06280000e-04  7.55554135e-01  3.91599765e-01 
 4.07280000e-04  7.55501776e-01  3.92456539e-01 
 4.08280000e-04  7.55449200e-01  3.93324318e-01 
 4.09280000e-04  7.55396409e-01  3.94203250e-01 
 4.10280000e-04  7.55343405e-01  3.95093486e-01 
 4.11280000e-04  7.55290191e-01  3.95995176e-01 
 4.12280000e-04  7.55236767e-01  3.96908474e-01 
 4.13280000e-04  7.55183136e-01  3.97833534e-01 
 4.14280000e-04  7.55129301e-01  3.98770512e-01 
 4.15280000e-04  7.55075263e-01  3.99719567e-01 
 4.16280000e-04  7.55021025e-01  4.00680856e-01 
 4.17280000e-04  7.54966589e-01  4.01654540e-01 
 4.18280000e-04  7.54911957e-01  4.02640781e-01 
 4.19280000e-04  7.54857130e-01  4.03639741e-01 
 4.20280000e-04  7.54802113e-01  4.04651583e-01 
 4.21280000e-04  7.54746905e-01  4.05676472e-01 
 4.22280000e-04  7.54691510e-01  4.06714572e-01 
 4.23280000e-04  7.54635930e-01  4.07766049e-01 
 4.24280000e-04  7.54580167e-01  4.08831069e-01 
 4.25280000e-04  7.54524223e-01  4.09909798e-01 
 4.26280000e-04  7.54468100e-01  4.11002403e-01 
 4.27280000e-04  7.54411801e-01  4.12109050e-01 
 4.28280000e-04  7.54355328e-01  4.13229905e-01 
 4.29280000e-04  7.54298683e-01  4.14365134e-01 
 4.30280000e-04  7.54241868e-01  4.15514902e-01 
 4.31280000e-04  7.54184885e-01  4.16679374e-01 
 4.32280000e-04  7.54127738e-01  4.17858712e-01 
 4.33280000e-04  7.54070428e-01  4.19053079e-01 
 4.34280000e-04  7.54012956e-01  4.20262635e-01 
 4.35280000e-04  7.53955327e-01  4.21487540e-01 
 4.36280000e-04  7.53897541e-01  4.22727950e-01 
 4.37280000e-04  7.53839601e-01  4.23984021e-01 
 4.38280000e-04  7.53781510e-01  4.25255904e-01 
 4.39280000e-04  7.53723270e-01  4.26543750e-01 
 4.40280000e-04  7.53664882e-01  4.27847705e-01 
 4.41280000e-04  7.53606350e-01  4.29167913e-01 
 4.42280000e-04  7.53547676e-01  4.30504514e-01 
 4.43280000e-04  7.53488861e-01  4.31857645e-01 
 4.44280000e-04  7.53429909e-01  4.33227437e-01 
 4.45280000e-04  7.53370821e-01  4.34614019e-01 
 4.46280000e-04  7.53311600e-01  4.36017514e-01 
 4.47280000e-04  7.53252249e-01  4.37438041e-01 
 4.48280000e-04  7.53192769e-01  4.38875713e-01 
 4.49280000e-04  7.53133163e-01  4.40330639e-01 
 4.50280000e-04  7.53073433e-01  4.41802920e-01 
 4.51280000e-04  7.53013582e-01  4.43292654e-01 
 4.52280000e-04  7.52953612e-01  4.44799932e-01 
 4.53280000e-04  7.52893526e-01  4.46324836e-01 
 4.54280000e-04  7.52833325e-01  4.47867445e-01 
 4.55280000e-04  7.52773012e-01  4.49427829e-01 
 4.56280000e-04  7.52712590e-01  4.51006053e-01 
 4.57280000e-04  7.52652061e-01  4.52602172e-01 
 4.58280000e-04  7.52591427e-01  4.54216236e-01 
 4.59280000e-04  7.52530691e-01  4.55848286e-01 
 4.60280000e-04  7.52469855e-01  4.57498356e-01 
 4.61280000e-04  7.52408921e-01  4.59166472e-01 
 4.62280000e-04  7.52347892e-01  4.60852653e-01 
 4.63280000e-04  7.52286771e-01  4.62556908e-01 
 4.64280000e-04  7.52225559e-01  4.64279240e-01 
 4.65280000e-04  7.52164260e-01  4.66019642e-01 
 4.66280000e-04  7.52102875e-01  4.67778100e-01 
 4.67280000e-04  7.52041407e-01  4.69554592e-01 
 4.68280000e-04  7.51979858e-01  4.71349086e-01 
 4.69280000e-04  7.51918231e-01  4.73161545e-01 
 4.70280000e-04  7.51856529e-01  4.74991920e-01 
 4.71280000e-04  7.51794753e-01  4.76840156e-01 
 4.72280000e-04  7.51732907e-01  4.78706192e-01 
 4.73280000e-04  7.51670991e-01  4.80589954e-01 
