 v-sweep         v(vin)          v(vout)        
 8.30000000e-02  8.30000000e-02  1.49999041e+00 
 8.40000000e-02  8.40000000e-02  1.49999013e+00 
 8.50000000e-02  8.50000000e-02  1.49998984e+00 
 8.60000000e-02  8.60000000e-02  1.49998954e+00 
 8.70000000e-02  8.70000000e-02  1.49998923e+00 
 8.80000000e-02  8.80000000e-02  1.49998891e+00 
 8.90000000e-02  8.90000000e-02  1.49998858e+00 
 9.00000000e-02  9.00000000e-02  1.49998824e+00 
 9.10000000e-02  9.10000000e-02  1.49998789e+00 
 9.20000000e-02  9.20000000e-02  1.49998753e+00 
 9.30000000e-02  9.30000000e-02  1.49998716e+00 
 9.40000000e-02  9.40000000e-02  1.49998677e+00 
 9.50000000e-02  9.50000000e-02  1.49998637e+00 
 9.60000000e-02  9.60000000e-02  1.49998596e+00 
 9.70000000e-02  9.70000000e-02  1.49998553e+00 
 9.80000000e-02  9.80000000e-02  1.49998509e+00 
 9.90000000e-02  9.90000000e-02  1.49998463e+00 
 1.00000000e-01  1.00000000e-01  1.49998416e+00 
 1.01000000e-01  1.01000000e-01  1.49998368e+00 
 1.02000000e-01  1.02000000e-01  1.49998318e+00 
 1.03000000e-01  1.03000000e-01  1.49998266e+00 
 1.04000000e-01  1.04000000e-01  1.49998213e+00 
 1.05000000e-01  1.05000000e-01  1.49998157e+00 
 1.06000000e-01  1.06000000e-01  1.49998100e+00 
 1.07000000e-01  1.07000000e-01  1.49998042e+00 
 1.08000000e-01  1.08000000e-01  1.49997981e+00 
 1.09000000e-01  1.09000000e-01  1.49997918e+00 
 1.10000000e-01  1.10000000e-01  1.49997853e+00 
 1.11000000e-01  1.11000000e-01  1.49997786e+00 
 1.12000000e-01  1.12000000e-01  1.49997717e+00 
 1.13000000e-01  1.13000000e-01  1.49997646e+00 
 1.14000000e-01  1.14000000e-01  1.49997572e+00 
 1.15000000e-01  1.15000000e-01  1.49997496e+00 
 1.16000000e-01  1.16000000e-01  1.49997418e+00 
 1.17000000e-01  1.17000000e-01  1.49997337e+00 
 1.18000000e-01  1.18000000e-01  1.49997253e+00 
 1.19000000e-01  1.19000000e-01  1.49997166e+00 
 1.20000000e-01  1.20000000e-01  1.49997077e+00 
 1.21000000e-01  1.21000000e-01  1.49996985e+00 
 1.22000000e-01  1.22000000e-01  1.49996890e+00 
 1.23000000e-01  1.23000000e-01  1.49996792e+00 
 1.24000000e-01  1.24000000e-01  1.49996691e+00 
 1.25000000e-01  1.25000000e-01  1.49996586e+00 
 1.26000000e-01  1.26000000e-01  1.49996478e+00 
 1.27000000e-01  1.27000000e-01  1.49996367e+00 
 1.28000000e-01  1.28000000e-01  1.49996252e+00 
 1.29000000e-01  1.29000000e-01  1.49996133e+00 
 1.30000000e-01  1.30000000e-01  1.49996010e+00 
 1.31000000e-01  1.31000000e-01  1.49995884e+00 
 1.32000000e-01  1.32000000e-01  1.49995753e+00 
 1.33000000e-01  1.33000000e-01  1.49995619e+00 
 1.34000000e-01  1.34000000e-01  1.49995480e+00 
 1.35000000e-01  1.35000000e-01  1.49995336e+00 
 1.36000000e-01  1.36000000e-01  1.49995188e+00 
 1.37000000e-01  1.37000000e-01  1.49995036e+00 
 1.38000000e-01  1.38000000e-01  1.49994878e+00 
 1.39000000e-01  1.39000000e-01  1.49994715e+00 
 1.40000000e-01  1.40000000e-01  1.49994548e+00 
 1.41000000e-01  1.41000000e-01  1.49994375e+00 
 1.42000000e-01  1.42000000e-01  1.49994196e+00 
 1.43000000e-01  1.43000000e-01  1.49994012e+00 
 1.44000000e-01  1.44000000e-01  1.49993822e+00 
 1.45000000e-01  1.45000000e-01  1.49993626e+00 
 1.46000000e-01  1.46000000e-01  1.49993424e+00 
 1.47000000e-01  1.47000000e-01  1.49993215e+00 
 1.48000000e-01  1.48000000e-01  1.49993000e+00 
 1.49000000e-01  1.49000000e-01  1.49992778e+00 
 1.50000000e-01  1.50000000e-01  1.49992549e+00 
 1.51000000e-01  1.51000000e-01  1.49992314e+00 
 1.52000000e-01  1.52000000e-01  1.49992070e+00 
 1.53000000e-01  1.53000000e-01  1.49991820e+00 
 1.54000000e-01  1.54000000e-01  1.49991561e+00 
 1.55000000e-01  1.55000000e-01  1.49991294e+00 
 1.56000000e-01  1.56000000e-01  1.49991020e+00 
 1.57000000e-01  1.57000000e-01  1.49990736e+00 
 1.58000000e-01  1.58000000e-01  1.49990444e+00 
 1.59000000e-01  1.59000000e-01  1.49990143e+00 
 1.60000000e-01  1.60000000e-01  1.49989833e+00 
 1.61000000e-01  1.61000000e-01  1.49989513e+00 
 1.62000000e-01  1.62000000e-01  1.49989184e+00 
 1.63000000e-01  1.63000000e-01  1.49988845e+00 
 1.64000000e-01  1.64000000e-01  1.49988495e+00 
 1.65000000e-01  1.65000000e-01  1.49988134e+00 
 1.66000000e-01  1.66000000e-01  1.49987763e+00 
 1.67000000e-01  1.67000000e-01  1.49987381e+00 
 1.68000000e-01  1.68000000e-01  1.49986987e+00 
 1.69000000e-01  1.69000000e-01  1.49986581e+00 
 1.70000000e-01  1.70000000e-01  1.49986164e+00 
 1.71000000e-01  1.71000000e-01  1.49985733e+00 
 1.72000000e-01  1.72000000e-01  1.49985291e+00 
 1.73000000e-01  1.73000000e-01  1.49984835e+00 
 1.74000000e-01  1.74000000e-01  1.49984365e+00 
 1.75000000e-01  1.75000000e-01  1.49983882e+00 
 1.76000000e-01  1.76000000e-01  1.49983385e+00 
 1.77000000e-01  1.77000000e-01  1.49982873e+00 
 1.78000000e-01  1.78000000e-01  1.49982346e+00 
 1.79000000e-01  1.79000000e-01  1.49981804e+00 
 1.80000000e-01  1.80000000e-01  1.49981247e+00 
 1.81000000e-01  1.81000000e-01  1.49980673e+00 
 1.82000000e-01  1.82000000e-01  1.49980083e+00 
 1.83000000e-01  1.83000000e-01  1.49979476e+00 
 1.84000000e-01  1.84000000e-01  1.49978853e+00 
 1.85000000e-01  1.85000000e-01  1.49978211e+00 
 1.86000000e-01  1.86000000e-01  1.49977551e+00 
 1.87000000e-01  1.87000000e-01  1.49976873e+00 
 1.88000000e-01  1.88000000e-01  1.49976177e+00 
 1.89000000e-01  1.89000000e-01  1.49975460e+00 
 1.90000000e-01  1.90000000e-01  1.49974724e+00 
 1.91000000e-01  1.91000000e-01  1.49973968e+00 
 1.92000000e-01  1.92000000e-01  1.49973192e+00 
 1.93000000e-01  1.93000000e-01  1.49972394e+00 
 1.94000000e-01  1.94000000e-01  1.49971574e+00 
 1.95000000e-01  1.95000000e-01  1.49970733e+00 
 1.96000000e-01  1.96000000e-01  1.49969869e+00 
 1.97000000e-01  1.97000000e-01  1.49968982e+00 
 1.98000000e-01  1.98000000e-01  1.49968072e+00 
 1.99000000e-01  1.99000000e-01  1.49967138e+00 
 2.00000000e-01  2.00000000e-01  1.49966179e+00 
 2.01000000e-01  2.01000000e-01  1.49965195e+00 
 2.02000000e-01  2.02000000e-01  1.49964186e+00 
 2.03000000e-01  2.03000000e-01  1.49963152e+00 
 2.04000000e-01  2.04000000e-01  1.49962091e+00 
 2.05000000e-01  2.05000000e-01  1.49961003e+00 
 2.06000000e-01  2.06000000e-01  1.49959887e+00 
 2.07000000e-01  2.07000000e-01  1.49958744e+00 
 2.08000000e-01  2.08000000e-01  1.49957572e+00 
 2.09000000e-01  2.09000000e-01  1.49956372e+00 
 2.10000000e-01  2.10000000e-01  1.49955142e+00 
 2.11000000e-01  2.11000000e-01  1.49953882e+00 
 2.12000000e-01  2.12000000e-01  1.49952592e+00 
 2.13000000e-01  2.13000000e-01  1.49951271e+00 
 2.14000000e-01  2.14000000e-01  1.49949918e+00 
 2.15000000e-01  2.15000000e-01  1.49948534e+00 
 2.16000000e-01  2.16000000e-01  1.49947117e+00 
 2.17000000e-01  2.17000000e-01  1.49945667e+00 
 2.18000000e-01  2.18000000e-01  1.49944184e+00 
 2.19000000e-01  2.19000000e-01  1.49942667e+00 
 2.20000000e-01  2.20000000e-01  1.49941115e+00 
 2.21000000e-01  2.21000000e-01  1.49939528e+00 
 2.22000000e-01  2.22000000e-01  1.49937906e+00 
 2.23000000e-01  2.23000000e-01  1.49936248e+00 
 2.24000000e-01  2.24000000e-01  1.49934554e+00 
 2.25000000e-01  2.25000000e-01  1.49932822e+00 
 2.26000000e-01  2.26000000e-01  1.49931053e+00 
 2.27000000e-01  2.27000000e-01  1.49929246e+00 
 2.28000000e-01  2.28000000e-01  1.49927401e+00 
 2.29000000e-01  2.29000000e-01  1.49925517e+00 
 2.30000000e-01  2.30000000e-01  1.49923593e+00 
 2.31000000e-01  2.31000000e-01  1.49921629e+00 
 2.32000000e-01  2.32000000e-01  1.49919626e+00 
 2.33000000e-01  2.33000000e-01  1.49917581e+00 
 2.34000000e-01  2.34000000e-01  1.49915495e+00 
 2.35000000e-01  2.35000000e-01  1.49913367e+00 
 2.36000000e-01  2.36000000e-01  1.49911197e+00 
 2.37000000e-01  2.37000000e-01  1.49908985e+00 
 2.38000000e-01  2.38000000e-01  1.49906729e+00 
 2.39000000e-01  2.39000000e-01  1.49904430e+00 
 2.40000000e-01  2.40000000e-01  1.49902086e+00 
 2.41000000e-01  2.41000000e-01  1.49899698e+00 
 2.42000000e-01  2.42000000e-01  1.49897266e+00 
 2.43000000e-01  2.43000000e-01  1.49894788e+00 
 2.44000000e-01  2.44000000e-01  1.49892264e+00 
 2.45000000e-01  2.45000000e-01  1.49889694e+00 
 2.46000000e-01  2.46000000e-01  1.49887077e+00 
 2.47000000e-01  2.47000000e-01  1.49884414e+00 
 2.48000000e-01  2.48000000e-01  1.49881702e+00 
 2.49000000e-01  2.49000000e-01  1.49878943e+00 
 2.50000000e-01  2.50000000e-01  1.49876136e+00 
 2.51000000e-01  2.51000000e-01  1.49873280e+00 
 2.52000000e-01  2.52000000e-01  1.49870375e+00 
 2.53000000e-01  2.53000000e-01  1.49867420e+00 
 2.54000000e-01  2.54000000e-01  1.49864415e+00 
 2.55000000e-01  2.55000000e-01  1.49861360e+00 
 2.56000000e-01  2.56000000e-01  1.49858255e+00 
 2.57000000e-01  2.57000000e-01  1.49855098e+00 
 2.58000000e-01  2.58000000e-01  1.49851889e+00 
 2.59000000e-01  2.59000000e-01  1.49848629e+00 
 2.60000000e-01  2.60000000e-01  1.49845317e+00 
 2.61000000e-01  2.61000000e-01  1.49841952e+00 
 2.62000000e-01  2.62000000e-01  1.49838533e+00 
 2.63000000e-01  2.63000000e-01  1.49835062e+00 
 2.64000000e-01  2.64000000e-01  1.49831536e+00 
 2.65000000e-01  2.65000000e-01  1.49827956e+00 
 2.66000000e-01  2.66000000e-01  1.49824322e+00 
 2.67000000e-01  2.67000000e-01  1.49820633e+00 
 2.68000000e-01  2.68000000e-01  1.49816888e+00 
 2.69000000e-01  2.69000000e-01  1.49813088e+00 
 2.70000000e-01  2.70000000e-01  1.49809231e+00 
 2.71000000e-01  2.71000000e-01  1.49805318e+00 
 2.72000000e-01  2.72000000e-01  1.49801349e+00 
 2.73000000e-01  2.73000000e-01  1.49797322e+00 
 2.74000000e-01  2.74000000e-01  1.49793237e+00 
 2.75000000e-01  2.75000000e-01  1.49789094e+00 
 2.76000000e-01  2.76000000e-01  1.49784893e+00 
 2.77000000e-01  2.77000000e-01  1.49780634e+00 
 2.78000000e-01  2.78000000e-01  1.49776315e+00 
 2.79000000e-01  2.79000000e-01  1.49771936e+00 
 2.80000000e-01  2.80000000e-01  1.49767498e+00 
 2.81000000e-01  2.81000000e-01  1.49763000e+00 
 2.82000000e-01  2.82000000e-01  1.49758441e+00 
 2.83000000e-01  2.83000000e-01  1.49753820e+00 
 2.84000000e-01  2.84000000e-01  1.49749139e+00 
 2.85000000e-01  2.85000000e-01  1.49744396e+00 
 2.86000000e-01  2.86000000e-01  1.49739590e+00 
 2.87000000e-01  2.87000000e-01  1.49734722e+00 
 2.88000000e-01  2.88000000e-01  1.49729791e+00 
 2.89000000e-01  2.89000000e-01  1.49724797e+00 
 2.90000000e-01  2.90000000e-01  1.49719739e+00 
 2.91000000e-01  2.91000000e-01  1.49714617e+00 
 2.92000000e-01  2.92000000e-01  1.49709431e+00 
 2.93000000e-01  2.93000000e-01  1.49704179e+00 
 2.94000000e-01  2.94000000e-01  1.49698863e+00 
 2.95000000e-01  2.95000000e-01  1.49693480e+00 
 2.96000000e-01  2.96000000e-01  1.49688032e+00 
 2.97000000e-01  2.97000000e-01  1.49682517e+00 
 2.98000000e-01  2.98000000e-01  1.49676935e+00 
 2.99000000e-01  2.99000000e-01  1.49671287e+00 
 3.00000000e-01  3.00000000e-01  1.49665570e+00 
 3.01000000e-01  3.01000000e-01  1.49659785e+00 
 3.02000000e-01  3.02000000e-01  1.49653932e+00 
 3.03000000e-01  3.03000000e-01  1.49648010e+00 
 3.04000000e-01  3.04000000e-01  1.49642019e+00 
 3.05000000e-01  3.05000000e-01  1.49635958e+00 
 3.06000000e-01  3.06000000e-01  1.49629827e+00 
 3.07000000e-01  3.07000000e-01  1.49623625e+00 
 3.08000000e-01  3.08000000e-01  1.49617352e+00 
 3.09000000e-01  3.09000000e-01  1.49611008e+00 
 3.10000000e-01  3.10000000e-01  1.49604593e+00 
 3.11000000e-01  3.11000000e-01  1.49598105e+00 
 3.12000000e-01  3.12000000e-01  1.49591544e+00 
 3.13000000e-01  3.13000000e-01  1.49584911e+00 
 3.14000000e-01  3.14000000e-01  1.49578204e+00 
 3.15000000e-01  3.15000000e-01  1.49571423e+00 
 3.16000000e-01  3.16000000e-01  1.49564567e+00 
 3.17000000e-01  3.17000000e-01  1.49557637e+00 
 3.18000000e-01  3.18000000e-01  1.49550632e+00 
 3.19000000e-01  3.19000000e-01  1.49543551e+00 
 3.20000000e-01  3.20000000e-01  1.49536394e+00 
 3.21000000e-01  3.21000000e-01  1.49529161e+00 
 3.22000000e-01  3.22000000e-01  1.49521850e+00 
 3.23000000e-01  3.23000000e-01  1.49514462e+00 
 3.24000000e-01  3.24000000e-01  1.49506996e+00 
 3.25000000e-01  3.25000000e-01  1.49499452e+00 
 3.26000000e-01  3.26000000e-01  1.49491830e+00 
 3.27000000e-01  3.27000000e-01  1.49484128e+00 
 3.28000000e-01  3.28000000e-01  1.49476346e+00 
 3.29000000e-01  3.29000000e-01  1.49468485e+00 
 3.30000000e-01  3.30000000e-01  1.49460542e+00 
 3.31000000e-01  3.31000000e-01  1.49452519e+00 
 3.32000000e-01  3.32000000e-01  1.49444415e+00 
 3.33000000e-01  3.33000000e-01  1.49436228e+00 
 3.34000000e-01  3.34000000e-01  1.49427959e+00 
 3.35000000e-01  3.35000000e-01  1.49419607e+00 
 3.36000000e-01  3.36000000e-01  1.49411172e+00 
 3.37000000e-01  3.37000000e-01  1.49402653e+00 
 3.38000000e-01  3.38000000e-01  1.49394050e+00 
 3.39000000e-01  3.39000000e-01  1.49385362e+00 
 3.40000000e-01  3.40000000e-01  1.49376589e+00 
 3.41000000e-01  3.41000000e-01  1.49367730e+00 
 3.42000000e-01  3.42000000e-01  1.49358785e+00 
 3.43000000e-01  3.43000000e-01  1.49349753e+00 
 3.44000000e-01  3.44000000e-01  1.49340635e+00 
 3.45000000e-01  3.45000000e-01  1.49331428e+00 
 3.46000000e-01  3.46000000e-01  1.49322134e+00 
 3.47000000e-01  3.47000000e-01  1.49312751e+00 
 3.48000000e-01  3.48000000e-01  1.49303279e+00 
 3.49000000e-01  3.49000000e-01  1.49293718e+00 
 3.50000000e-01  3.50000000e-01  1.49284066e+00 
 3.51000000e-01  3.51000000e-01  1.49274324e+00 
 3.52000000e-01  3.52000000e-01  1.49264491e+00 
 3.53000000e-01  3.53000000e-01  1.49254566e+00 
 3.54000000e-01  3.54000000e-01  1.49244549e+00 
 3.55000000e-01  3.55000000e-01  1.49234440e+00 
 3.56000000e-01  3.56000000e-01  1.49224238e+00 
 3.57000000e-01  3.57000000e-01  1.49213942e+00 
 3.58000000e-01  3.58000000e-01  1.49203552e+00 
 3.59000000e-01  3.59000000e-01  1.49193068e+00 
 3.60000000e-01  3.60000000e-01  1.49182488e+00 
 3.61000000e-01  3.61000000e-01  1.49171813e+00 
 3.62000000e-01  3.62000000e-01  1.49161042e+00 
 3.63000000e-01  3.63000000e-01  1.49150175e+00 
 3.64000000e-01  3.64000000e-01  1.49139210e+00 
 3.65000000e-01  3.65000000e-01  1.49128147e+00 
 3.66000000e-01  3.66000000e-01  1.49116987e+00 
 3.67000000e-01  3.67000000e-01  1.49105727e+00 
 3.68000000e-01  3.68000000e-01  1.49094368e+00 
 3.69000000e-01  3.69000000e-01  1.49082910e+00 
 3.70000000e-01  3.70000000e-01  1.49071351e+00 
 3.71000000e-01  3.71000000e-01  1.49059692e+00 
 3.72000000e-01  3.72000000e-01  1.49047931e+00 
 3.73000000e-01  3.73000000e-01  1.49036068e+00 
 3.74000000e-01  3.74000000e-01  1.49024103e+00 
 3.75000000e-01  3.75000000e-01  1.49012034e+00 
 3.76000000e-01  3.76000000e-01  1.48999863e+00 
 3.77000000e-01  3.77000000e-01  1.48987587e+00 
 3.78000000e-01  3.78000000e-01  1.48975206e+00 
 3.79000000e-01  3.79000000e-01  1.48962720e+00 
 3.80000000e-01  3.80000000e-01  1.48950129e+00 
 3.81000000e-01  3.81000000e-01  1.48937431e+00 
 3.82000000e-01  3.82000000e-01  1.48924626e+00 
 3.83000000e-01  3.83000000e-01  1.48911714e+00 
 3.84000000e-01  3.84000000e-01  1.48898694e+00 
 3.85000000e-01  3.85000000e-01  1.48885565e+00 
 3.86000000e-01  3.86000000e-01  1.48872327e+00 
 3.87000000e-01  3.87000000e-01  1.48858979e+00 
 3.88000000e-01  3.88000000e-01  1.48845521e+00 
 3.89000000e-01  3.89000000e-01  1.48831952e+00 
 3.90000000e-01  3.90000000e-01  1.48818272e+00 
 3.91000000e-01  3.91000000e-01  1.48804479e+00 
 3.92000000e-01  3.92000000e-01  1.48790574e+00 
 3.93000000e-01  3.93000000e-01  1.48776556e+00 
 3.94000000e-01  3.94000000e-01  1.48762424e+00 
 3.95000000e-01  3.95000000e-01  1.48748177e+00 
 3.96000000e-01  3.96000000e-01  1.48733815e+00 
 3.97000000e-01  3.97000000e-01  1.48719338e+00 
 3.98000000e-01  3.98000000e-01  1.48704744e+00 
 3.99000000e-01  3.99000000e-01  1.48690034e+00 
 4.00000000e-01  4.00000000e-01  1.48675206e+00 
 4.01000000e-01  4.01000000e-01  1.48660259e+00 
 4.02000000e-01  4.02000000e-01  1.48645195e+00 
 4.03000000e-01  4.03000000e-01  1.48630010e+00 
 4.04000000e-01  4.04000000e-01  1.48614706e+00 
 4.05000000e-01  4.05000000e-01  1.48599281e+00 
 4.06000000e-01  4.06000000e-01  1.48583735e+00 
 4.07000000e-01  4.07000000e-01  1.48568067e+00 
 4.08000000e-01  4.08000000e-01  1.48552277e+00 
 4.09000000e-01  4.09000000e-01  1.48536363e+00 
 4.10000000e-01  4.10000000e-01  1.48520325e+00 
 4.11000000e-01  4.11000000e-01  1.48504163e+00 
 4.12000000e-01  4.12000000e-01  1.48487876e+00 
 4.13000000e-01  4.13000000e-01  1.48471463e+00 
 4.14000000e-01  4.14000000e-01  1.48454924e+00 
 4.15000000e-01  4.15000000e-01  1.48438257e+00 
 4.16000000e-01  4.16000000e-01  1.48421462e+00 
 4.17000000e-01  4.17000000e-01  1.48404539e+00 
 4.18000000e-01  4.18000000e-01  1.48387487e+00 
 4.19000000e-01  4.19000000e-01  1.48370305e+00 
 4.20000000e-01  4.20000000e-01  1.48352992e+00 
 4.21000000e-01  4.21000000e-01  1.48335549e+00 
 4.22000000e-01  4.22000000e-01  1.48317973e+00 
 4.23000000e-01  4.23000000e-01  1.48300264e+00 
 4.24000000e-01  4.24000000e-01  1.48282422e+00 
 4.25000000e-01  4.25000000e-01  1.48264446e+00 
 4.26000000e-01  4.26000000e-01  1.48246335e+00 
 4.27000000e-01  4.27000000e-01  1.48228089e+00 
 4.28000000e-01  4.28000000e-01  1.48209706e+00 
 4.29000000e-01  4.29000000e-01  1.48191187e+00 
 4.30000000e-01  4.30000000e-01  1.48172529e+00 
 4.31000000e-01  4.31000000e-01  1.48153733e+00 
 4.32000000e-01  4.32000000e-01  1.48134798e+00 
 4.33000000e-01  4.33000000e-01  1.48115723e+00 
 4.34000000e-01  4.34000000e-01  1.48096507e+00 
 4.35000000e-01  4.35000000e-01  1.48077150e+00 
 4.36000000e-01  4.36000000e-01  1.48057650e+00 
 4.37000000e-01  4.37000000e-01  1.48038007e+00 
 4.38000000e-01  4.38000000e-01  1.48018221e+00 
 4.39000000e-01  4.39000000e-01  1.47998289e+00 
 4.40000000e-01  4.40000000e-01  1.47978213e+00 
 4.41000000e-01  4.41000000e-01  1.47957990e+00 
 4.42000000e-01  4.42000000e-01  1.47937620e+00 
 4.43000000e-01  4.43000000e-01  1.47917102e+00 
 4.44000000e-01  4.44000000e-01  1.47896436e+00 
 4.45000000e-01  4.45000000e-01  1.47875620e+00 
 4.46000000e-01  4.46000000e-01  1.47854653e+00 
 4.47000000e-01  4.47000000e-01  1.47833536e+00 
 4.48000000e-01  4.48000000e-01  1.47812267e+00 
 4.49000000e-01  4.49000000e-01  1.47790844e+00 
 4.50000000e-01  4.50000000e-01  1.47769268e+00 
 4.51000000e-01  4.51000000e-01  1.47747538e+00 
 4.52000000e-01  4.52000000e-01  1.47725652e+00 
 4.53000000e-01  4.53000000e-01  1.47703609e+00 
 4.54000000e-01  4.54000000e-01  1.47681410e+00 
 4.55000000e-01  4.55000000e-01  1.47659052e+00 
 4.56000000e-01  4.56000000e-01  1.47636536e+00 
 4.57000000e-01  4.57000000e-01  1.47613859e+00 
 4.58000000e-01  4.58000000e-01  1.47591022e+00 
 4.59000000e-01  4.59000000e-01  1.47568023e+00 
 4.60000000e-01  4.60000000e-01  1.47544861e+00 
 4.61000000e-01  4.61000000e-01  1.47521536e+00 
 4.62000000e-01  4.62000000e-01  1.47498046e+00 
 4.63000000e-01  4.63000000e-01  1.47474391e+00 
 4.64000000e-01  4.64000000e-01  1.47450569e+00 
 4.65000000e-01  4.65000000e-01  1.47426579e+00 
 4.66000000e-01  4.66000000e-01  1.47402422e+00 
 4.67000000e-01  4.67000000e-01  1.47378095e+00 
 4.68000000e-01  4.68000000e-01  1.47353597e+00 
 4.69000000e-01  4.69000000e-01  1.47328928e+00 
 4.70000000e-01  4.70000000e-01  1.47304087e+00 
 4.71000000e-01  4.71000000e-01  1.47279072e+00 
 4.72000000e-01  4.72000000e-01  1.47253883e+00 
 4.73000000e-01  4.73000000e-01  1.47228518e+00 
 4.74000000e-01  4.74000000e-01  1.47202977e+00 
 4.75000000e-01  4.75000000e-01  1.47177258e+00 
 4.76000000e-01  4.76000000e-01  1.47151360e+00 
 4.77000000e-01  4.77000000e-01  1.47125283e+00 
 4.78000000e-01  4.78000000e-01  1.47099025e+00 
 4.79000000e-01  4.79000000e-01  1.47072584e+00 
 4.80000000e-01  4.80000000e-01  1.47045961e+00 
