vin,vout,dvout_dvin
4.900000000000000189e-02,1.499996069999999904e+00,-9.000000000014551915e-05
5.000000000000000278e-02,1.499995980000000007e+00,-9.499999987383489497e-05
5.099999999999999672e-02,1.499995879999999948e+00,-1.000000000885847840e-04
5.199999999999999761e-02,1.499995779999999890e+00,-9.999999986121110851e-05
5.299999999999999850e-02,1.499995680000000053e+00,-9.999999997489794623e-05
5.399999999999999939e-02,1.499995579999999995e+00,-1.050000000759609975e-04
5.500000000000000028e-02,1.499995469999999997e+00,-1.099999999496503733e-04
5.600000000000000117e-02,1.499995360000000000e+00,-1.149999999370265868e-04
5.700000000000000205e-02,1.499995240000000063e+00,-1.200000000380896381e-04
5.800000000000000294e-02,1.499995119999999904e+00,-1.200000000380896381e-04
5.899999999999999689e-02,1.499994999999999967e+00,-1.249999999117790139e-04
5.999999999999999778e-02,1.499994870000000091e+00,-1.300000000128420652e-04
6.099999999999999867e-02,1.499994739999999993e+00,-1.350000001139051165e-04
6.199999999999999956e-02,1.499994599999999956e+00,-1.400000001012813300e-04
6.300000000000000044e-02,1.499994459999999918e+00,-1.449999999749707058e-04
6.400000000000000133e-02,1.499994309999999942e+00,-1.499999999623469193e-04
6.500000000000000222e-02,1.499994159999999965e+00,-1.499999999623469193e-04
6.600000000000000311e-02,1.499994009999999989e+00,-1.549999999497231329e-04
6.700000000000000400e-02,1.499993850000000073e+00,-1.650000000381623977e-04
6.800000000000000488e-02,1.499993679999999996e+00,-1.700000000255386112e-04
6.900000000000000577e-02,1.499993509999999919e+00,-1.750000000129148248e-04
7.000000000000000666e-02,1.499993329999999903e+00,-1.799999998866042006e-04
7.099999999999999367e-02,1.499993150000000108e+00,-1.850000001013540896e-04
7.199999999999999456e-02,1.499992959999999931e+00,-1.950000000761065166e-04
7.299999999999999545e-02,1.499992760000000036e+00,-2.000000000634827302e-04
7.399999999999999634e-02,1.499992559999999919e+00,-2.049999999371721060e-04
7.499999999999999722e-02,1.499992350000000085e+00,-2.149999999119245331e-04
7.599999999999999811e-02,1.499992130000000090e+00,-2.200000000129875843e-04
7.699999999999999900e-02,1.499991910000000095e+00,-2.250000000003637979e-04
7.799999999999999989e-02,1.499991679999999938e+00,-2.350000000888030627e-04
7.900000000000000078e-02,1.499991440000000065e+00,-2.400000000761792762e-04
8.000000000000000167e-02,1.499991199999999969e+00,-2.499999999372448656e-04
8.100000000000000255e-02,1.499990939999999995e+00,-2.599999999119972927e-04
8.200000000000000344e-02,1.499990680000000021e+00,-2.650000000130603439e-04
8.300000000000000433e-02,1.499990410000000107e+00,-2.749999999878127710e-04
8.400000000000000522e-02,1.499990130000000033e+00,-2.849999999625651981e-04
8.500000000000000611e-02,1.499989840000000019e+00,-2.949999999373176252e-04
8.599999999999999312e-02,1.499989540000000066e+00,-3.050000001394437277e-04
8.699999999999999400e-02,1.499989229999999951e+00,-3.150000000005093170e-04
8.799999999999999489e-02,1.499988909999999898e+00,-3.249999999752617441e-04
8.899999999999999578e-02,1.499988579999999905e+00,-3.349999999500141712e-04
8.999999999999999667e-02,1.499988239999999973e+00,-3.449999999247665983e-04
9.099999999999999756e-02,1.499987890000000101e+00,-3.550000000132058631e-04
9.199999999999999845e-02,1.499987530000000069e+00,-3.649999999879582901e-04
9.299999999999999933e-02,1.499987160000000097e+00,-3.800000000637737685e-04
9.400000000000000022e-02,1.499986770000000025e+00,-3.950000000259024091e-04
9.500000000000000111e-02,1.499986370000000013e+00,-4.049999998869679985e-04
9.600000000000000200e-02,1.499985960000000063e+00,-4.199999999627834768e-04
9.700000000000000289e-02,1.499985530000000011e+00,-4.350000000385989551e-04
9.800000000000000377e-02,1.499985090000000021e+00,-4.500000001144144335e-04
9.900000000000000466e-02,1.499984629999999930e+00,-4.650000000765430741e-04
1.000000000000000056e-01,1.499984159999999900e+00,-4.749999999376086635e-04
1.010000000000000064e-01,1.499983679999999930e+00,-4.899999997860504664e-04
1.019999999999999934e-01,1.499983180000000083e+00,-5.100000000766158337e-04
1.029999999999999943e-01,1.499982659999999912e+00,-5.250000000387444743e-04
1.039999999999999952e-01,1.499982130000000025e+00,-5.449999998745624907e-04
1.049999999999999961e-01,1.499981570000000097e+00,-5.650000000514410203e-04
1.059999999999999970e-01,1.499981000000000009e+00,-5.750000000261934474e-04
1.069999999999999979e-01,1.499980419999999981e+00,-5.949999999756983016e-04
1.079999999999999988e-01,1.499979809999999913e+00,-6.200000000262662070e-04
1.089999999999999997e-01,1.499979179999999968e+00,-6.399999999757710611e-04
1.100000000000000006e-01,1.499978529999999921e+00,-6.600000000389627530e-04
1.110000000000000014e-01,1.499977859999999996e+00,-6.799999999884676072e-04
1.120000000000000023e-01,1.499977169999999971e+00,-6.999999999379724613e-04
1.130000000000000032e-01,1.499976460000000067e+00,-7.250000001022272045e-04
1.140000000000000041e-01,1.499975719999999901e+00,-7.499999999254214345e-04
1.150000000000000050e-01,1.499974960000000079e+00,-7.699999999886131263e-04
1.160000000000000059e-01,1.499974179999999935e+00,-7.950000001528678695e-04
1.170000000000000068e-01,1.499973369999999973e+00,-8.249999998497514753e-04
1.179999999999999938e-01,1.499972529999999971e+00,-8.550000001150692697e-04
1.189999999999999947e-01,1.499971659999999929e+00,-8.799999999382634996e-04
1.199999999999999956e-01,1.499970770000000009e+00,-9.049999998751445673e-04
1.209999999999999964e-01,1.499969850000000049e+00,-9.350000000267755240e-04
1.219999999999999973e-01,1.499968900000000049e+00,-9.650000000647196430e-04
1.229999999999999982e-01,1.499967920000000010e+00,-9.949999999889769242e-04
1.239999999999999991e-01,1.499966909999999931e+00,-1.029999999900610419e-03
1.250000000000000000e-01,1.499965860000000095e+00,-1.065000000039617589e-03
1.260000000000000009e-01,1.499964779999999998e+00,-1.095000000077561708e-03
1.270000000000000018e-01,1.499963670000000082e+00,-1.129999999989195203e-03
1.280000000000000027e-01,1.499962519999999966e+00,-1.170000000001891749e-03
1.290000000000000036e-01,1.499961330000000093e+00,-1.210000000014588295e-03
1.300000000000000044e-01,1.499960100000000018e+00,-1.245000000039908628e-03
1.310000000000000053e-01,1.499958839999999904e+00,-1.284999999938918336e-03
1.320000000000000062e-01,1.499957530000000094e+00,-1.324999999951614882e-03
1.330000000000000071e-01,1.499956190000000023e+00,-1.365000000077998266e-03
1.340000000000000080e-01,1.499954800000000033e+00,-1.415000000065447239e-03
1.350000000000000089e-01,1.499953359999999902e+00,-1.459999999951833161e-03
1.360000000000000098e-01,1.499951880000000015e+00,-1.499999999964529707e-03
1.370000000000000107e-01,1.499950359999999927e+00,-1.550000000065665517e-03
1.380000000000000115e-01,1.499948779999999982e+00,-1.605000000040490704e-03
1.390000000000000124e-01,1.499947149999999896e+00,-1.649999999926876626e-03
1.400000000000000133e-01,1.499945480000000053e+00,-1.700000000028012437e-03
1.409999999999999865e-01,1.499943749999999909e+00,-1.759999999990213837e-03
1.419999999999999873e-01,1.499941959999999908e+00,-1.814999999965039024e-03
1.429999999999999882e-01,1.499940119999999988e+00,-1.869999999939864210e-03
1.439999999999999891e-01,1.499938219999999989e+00,-1.930000000015752448e-03
1.449999999999999900e-01,1.499936259999999910e+00,-1.989999999977953848e-03
1.459999999999999909e-01,1.499934239999999974e+00,-2.054999999927531462e-03
1.469999999999999918e-01,1.499932150000000020e+00,-2.119999999990795914e-03
1.479999999999999927e-01,1.499929999999999986e+00,-2.185000000054060365e-03
1.489999999999999936e-01,1.499927779999999933e+00,-2.254999999991014192e-03
1.499999999999999944e-01,1.499925490000000083e+00,-2.319999999940591806e-03
1.509999999999999953e-01,1.499923139999999933e+00,-2.394999999978608685e-03
1.519999999999999962e-01,1.499920700000000107e+00,-2.470000000016625563e-03
1.529999999999999971e-01,1.499918199999999979e+00,-2.545000000054642442e-03
1.539999999999999980e-01,1.499915609999999955e+00,-2.630000000067411747e-03
1.549999999999999989e-01,1.499912939999999972e+00,-2.704999999991741788e-03
1.559999999999999998e-01,1.499910199999999971e+00,-2.790000000004511094e-03
1.570000000000000007e-01,1.499907359999999912e+00,-2.880000000004656613e-03
1.580000000000000016e-01,1.499904439999999894e+00,-2.964999999903739081e-03
1.590000000000000024e-01,1.499901429999999980e+00,-3.055000000017571438e-03
1.600000000000000033e-01,1.499898329999999946e+00,-3.150000000005093170e-03
1.610000000000000042e-01,1.499895130000000076e+00,-3.244999999878928065e-03
1.620000000000000051e-01,1.499891840000000087e+00,-3.339999999980136636e-03
1.630000000000000060e-01,1.499888450000000040e+00,-3.445000000056097633e-03
1.640000000000000069e-01,1.499884949999999995e+00,-3.555000000119434844e-03
1.650000000000000078e-01,1.499881339999999952e+00,-3.659999999968022166e-03
1.660000000000000087e-01,1.499877630000000073e+00,-3.764999999930296326e-03
1.670000000000000095e-01,1.499873809999999974e+00,-3.880000000094696588e-03
1.680000000000000104e-01,1.499869869999999938e+00,-4.000000000019099389e-03
1.690000000000000113e-01,1.499865809999999966e+00,-4.114999999956125976e-03
1.700000000000000122e-01,1.499861639999999996e+00,-4.239999999981591827e-03
1.710000000000000131e-01,1.499857329999999989e+00,-4.365000000007057679e-03
1.719999999999999862e-01,1.499852909999999984e+00,-4.490000000032523531e-03
1.729999999999999871e-01,1.499848349999999941e+00,-4.629999999906431185e-03
1.739999999999999880e-01,1.499843650000000084e+00,-4.765000000020336302e-03
1.749999999999999889e-01,1.499838819999999906e+00,-4.900000000134241418e-03
1.759999999999999898e-01,1.499833849999999913e+00,-5.044999999995525286e-03
1.769999999999999907e-01,1.499828729999999943e+00,-5.194999999957872205e-03
1.779999999999999916e-01,1.499823459999999997e+00,-5.344999999920219125e-03
1.789999999999999925e-01,1.499818040000000074e+00,-5.494999999996252882e-03
1.799999999999999933e-01,1.499812469999999953e+00,-5.655000000047039066e-03
1.809999999999999942e-01,1.499806729999999977e+00,-5.819999999971514626e-03
1.819999999999999951e-01,1.499800830000000085e+00,-5.985000000009677024e-03
1.829999999999999960e-01,1.499794759999999894e+00,-6.150000000047839421e-03
1.839999999999999969e-01,1.499788530000000009e+00,-6.324999999947067408e-03
1.849999999999999978e-01,1.499782109999999946e+00,-6.509999999934734660e-03
1.859999999999999987e-01,1.499775510000000089e+00,-6.690000000048712536e-03
1.869999999999999996e-01,1.499768729999999994e+00,-6.870000000049003575e-03
1.880000000000000004e-01,1.499761770000000105e+00,-7.065000000011423253e-03
1.890000000000000013e-01,1.499754599999999938e+00,-7.264999999961219146e-03
1.900000000000000022e-01,1.499747240000000037e+00,-7.459999999923638825e-03
1.910000000000000031e-01,1.499739680000000019e+00,-7.659999999987121555e-03
1.920000000000000040e-01,1.499731920000000107e+00,-7.870000000025356712e-03
1.930000000000000049e-01,1.499723939999999978e+00,-8.090000000038344297e-03
1.940000000000000058e-01,1.499715740000000075e+00,-8.305000000063955667e-03
1.950000000000000067e-01,1.499707329999999894e+00,-8.524999999963256414e-03
1.960000000000000075e-01,1.499698690000000001e+00,-8.754999999950996425e-03
1.970000000000000084e-01,1.499689819999999951e+00,-8.985000000052423275e-03
1.980000000000000093e-01,1.499680719999999967e+00,-9.219999999913852662e-03
1.990000000000000102e-01,1.499671380000000109e+00,-9.464999999977408152e-03
2.000000000000000111e-01,1.499661789999999995e+00,-9.715000000028339855e-03
2.010000000000000120e-01,1.499651950000000067e+00,-9.964999999965584720e-03
2.020000000000000129e-01,1.499641860000000104e+00,-1.021500000001651642e-02
2.030000000000000138e-01,1.499631520000000107e+00,-1.047500000004220055e-02
2.039999999999999869e-01,1.499620909999999974e+00,-1.074500000004263711e-02
2.049999999999999878e-01,1.499610029999999927e+00,-1.102000000003044988e-02
2.059999999999999887e-01,1.499598870000000028e+00,-1.129500000001826265e-02
2.069999999999999896e-01,1.499587439999999994e+00,-1.157499999999345164e-02
2.079999999999999905e-01,1.499575719999999945e+00,-1.185999999995601684e-02
2.089999999999999913e-01,1.499563720000000044e+00,-1.215000000001964509e-02
2.099999999999999922e-01,1.499551419999999968e+00,-1.245000000005802576e-02
2.109999999999999931e-01,1.499538819999999939e+00,-1.274999999998271960e-02
2.119999999999999940e-01,1.499525919999999957e+00,-1.305499999989478965e-02
2.129999999999999949e-01,1.499512710000000082e+00,-1.337000000000898581e-02
2.139999999999999958e-01,1.499499179999999932e+00,-1.368500000000949512e-02
2.149999999999999967e-01,1.499485340000000111e+00,-1.400499999999738066e-02
2.159999999999999976e-01,1.499471170000000075e+00,-1.433500000007370545e-02
2.169999999999999984e-01,1.499456670000000047e+00,-1.466499999992265657e-02
2.179999999999999993e-01,1.499441840000000026e+00,-1.499999999998635758e-02
2.190000000000000002e-01,1.499426670000000072e+00,-1.534500000002481102e-02
2.200000000000000011e-01,1.499411150000000026e+00,-1.569499999993695383e-02
2.210000000000000020e-01,1.499395280000000108e+00,-1.604499999996278348e-02
2.220000000000000029e-01,1.499379060000000097e+00,-1.640000000008967618e-02
2.230000000000000038e-01,1.499362480000000053e+00,-1.676000000009025825e-02
2.240000000000000047e-01,1.499345539999999977e+00,-1.712999999995190592e-02
2.250000000000000056e-01,1.499328219999999989e+00,-1.750499999991461664e-02
2.260000000000000064e-01,1.499310530000000030e+00,-1.788000000010470103e-02
2.270000000000000073e-01,1.499292459999999938e+00,-1.826000000005478796e-02
2.280000000000000082e-01,1.499274009999999935e+00,-1.864499999987856427e-02
2.290000000000000091e-01,1.499255170000000081e+00,-1.904000000001815351e-02
2.300000000000000100e-01,1.499235929999999994e+00,-1.944000000014511897e-02
2.310000000000000109e-01,1.499216289999999896e+00,-1.983500000005733455e-02
2.320000000000000118e-01,1.499196259999999947e+00,-2.023999999983061571e-02
2.330000000000000127e-01,1.499175810000000109e+00,-2.065499999991970981e-02
2.340000000000000135e-01,1.499154950000000097e+00,-2.107000000000880391e-02
2.349999999999999867e-01,1.499133669999999974e+00,-2.148999999997158739e-02
2.359999999999999876e-01,1.499111969999999960e+00,-2.190999999993437086e-02
2.369999999999999885e-01,1.499089850000000057e+00,-2.233999999998559360e-02
2.379999999999999893e-01,1.499067289999999941e+00,-2.277500000002419256e-02
2.389999999999999902e-01,1.499044299999999996e+00,-2.321500000005016773e-02
2.399999999999999911e-01,1.499020859999999900e+00,-2.365999999994983227e-02
2.409999999999999920e-01,1.498996980000000034e+00,-2.409999999997580744e-02
2.419999999999999929e-01,1.498972659999999957e+00,-2.454999999997653504e-02
2.429999999999999938e-01,1.498947880000000010e+00,-2.500999999995201506e-02
2.439999999999999947e-01,1.498922639999999973e+00,-2.547000000004118192e-02
2.449999999999999956e-01,1.498896940000000066e+00,-2.593500000000403816e-02
2.459999999999999964e-01,1.498870769999999908e+00,-2.639999999996689439e-02
2.469999999999999973e-01,1.498844140000000102e+00,-2.687500000001818989e-02
2.479999999999999982e-01,1.498817019999999944e+00,-2.735500000005686161e-02
2.489999999999999991e-01,1.498789429999999978e+00,-2.782999999988078343e-02
2.500000000000000000e-01,1.498761360000000042e+00,-2.831500000002051820e-02
2.510000000000000009e-01,1.498732799999999976e+00,-2.880500000003394234e-02
2.520000000000000018e-01,1.498703750000000001e+00,-2.930000000003474270e-02
2.530000000000000027e-01,1.498674199999999956e+00,-2.980000000002291927e-02
2.540000000000000036e-01,1.498644150000000064e+00,-3.029999999989740900e-02
2.550000000000000044e-01,1.498613600000000101e+00,-3.079999999999927240e-02
2.560000000000000053e-01,1.498582550000000069e+00,-3.130999999996220140e-02
2.570000000000000062e-01,1.498550980000000088e+00,-3.183000000001356966e-02
2.580000000000000071e-01,1.498518889999999937e+00,-3.234500000007756171e-02
2.590000000000000080e-01,1.498486289999999999e+00,-3.286000000002786692e-02
2.600000000000000089e-01,1.498453169999999890e+00,-3.338500000006661139e-02
2.610000000000000098e-01,1.498419519999999894e+00,-3.391999999996642146e-02
2.620000000000000107e-01,1.498385330000000071e+00,-3.444999999987885531e-02
2.630000000000000115e-01,1.498350620000000077e+00,-3.498500000000603904e-02
2.640000000000000124e-01,1.498315360000000096e+00,-3.552999999999428837e-02
2.650000000000000133e-01,1.498279560000000066e+00,-3.606999999999516149e-02
2.660000000000000142e-01,1.498243219999999987e+00,-3.661500000009709765e-02
2.670000000000000151e-01,1.498206329999999920e+00,-3.717000000006009941e-02
2.680000000000000160e-01,1.498168879999999925e+00,-3.772500000002310117e-02
2.690000000000000169e-01,1.498130879999999943e+00,-3.828499999985979230e-02
2.700000000000000178e-01,1.498092310000000094e+00,-3.884999999991123332e-02
2.710000000000000187e-01,1.498053180000000095e+00,-3.941000000008898496e-02
2.720000000000000195e-01,1.498013489999999948e+00,-3.998000000001411536e-02
2.730000000000000204e-01,1.497973219999999994e+00,-4.056000000002768502e-02
2.740000000000000213e-01,1.497932370000000013e+00,-4.114000000004125468e-02
2.750000000000000222e-01,1.497890940000000004e+00,-4.171999999994113750e-02
2.760000000000000231e-01,1.497848929999999967e+00,-4.230000000006839400e-02
2.770000000000000240e-01,1.497806339999999903e+00,-4.289000000005671609e-02
2.780000000000000249e-01,1.497763149999999932e+00,-4.348999999990610377e-02
2.790000000000000258e-01,1.497719360000000055e+00,-4.408499999999548891e-02
2.800000000000000266e-01,1.497674979999999989e+00,-4.467999999997118721e-02
2.810000000000000275e-01,1.497630000000000017e+00,-4.528499999980795110e-02
2.819999999999999729e-01,1.497584409999999977e+00,-4.590000000018790161e-02
2.829999999999999738e-01,1.497538199999999931e+00,-4.650999999989835487e-02
2.839999999999999747e-01,1.497491389999999978e+00,-4.711999999994986865e-02
2.849999999999999756e-01,1.497443960000000018e+00,-4.774500000007719791e-02
2.859999999999999765e-01,1.497395899999999891e+00,-4.836999999997715349e-02
2.869999999999999774e-01,1.497347219999999979e+00,-4.899499999999079591e-02
2.879999999999999782e-01,1.497297909999999899e+00,-4.962499999999181455e-02
2.889999999999999791e-01,1.497247970000000095e+00,-5.025999999998020940e-02
2.899999999999999800e-01,1.497197389999999961e+00,-5.090000000006966729e-02
2.909999999999999809e-01,1.497146169999999943e+00,-5.153999999993175152e-02
2.919999999999999818e-01,1.497094310000000039e+00,-5.218999999999596184e-02
2.929999999999999827e-01,1.497041789999999928e+00,-5.284000000006017217e-02
2.939999999999999836e-01,1.496988629999999931e+00,-5.349499999999807187e-02
2.949999999999999845e-01,1.496934800000000010e+00,-5.415499999992334779e-02
2.959999999999999853e-01,1.496880320000000042e+00,-5.481499999996231054e-02
2.969999999999999862e-01,1.496825169999999927e+00,-5.548499999997602572e-02
2.979999999999999871e-01,1.496769350000000109e+00,-5.615000000000236469e-02
2.989999999999999880e-01,1.496712870000000084e+00,-5.682500000011714292e-02
2.999999999999999889e-01,1.496655700000000033e+00,-5.751000000009298674e-02
3.009999999999999898e-01,1.496597849999999896e+00,-5.819000000008145435e-02
3.019999999999999907e-01,1.496539319999999895e+00,-5.887499999982992449e-02
3.029999999999999916e-01,1.496480100000000091e+00,-5.956499999990683136e-02
3.039999999999999925e-01,1.496420190000000039e+00,-6.026000000008480129e-02
3.049999999999999933e-01,1.496359580000000022e+00,-6.096000000002277375e-02
3.059999999999999942e-01,1.496298270000000041e+00,-6.166500000006180926e-02
3.069999999999999951e-01,1.496236249999999934e+00,-6.237499999997453415e-02
3.079999999999999960e-01,1.496173519999999924e+00,-6.308499999988725904e-02
3.089999999999999969e-01,1.496110080000000009e+00,-6.379500000002735760e-02
3.099999999999999978e-01,1.496045929999999968e+00,-6.451500000002852175e-02
3.109999999999999987e-01,1.495981049999999923e+00,-6.524499999989075150e-02
3.119999999999999996e-01,1.495915440000000096e+00,-6.596999999999297870e-02
3.130000000000000004e-01,1.495849109999999982e+00,-6.670000000008258212e-02
3.140000000000000013e-01,1.495782039999999924e+00,-6.744000000003325113e-02
3.150000000000000022e-01,1.495714229999999922e+00,-6.818499999997129635e-02
3.160000000000000031e-01,1.495645670000000038e+00,-6.893000000002302841e-02
3.170000000000000040e-01,1.495576369999999988e+00,-6.967499999996107363e-02
3.180000000000000049e-01,1.495506320000000056e+00,-7.042999999987387127e-02
3.190000000000000058e-01,1.495435510000000079e+00,-7.119000000000141881e-02
3.200000000000000067e-01,1.495363940000000058e+00,-7.195000000012896635e-02
3.210000000000000075e-01,1.495291609999999993e+00,-7.272000000000389264e-02
3.220000000000000084e-01,1.495218500000000006e+00,-7.349499999997988198e-02
3.230000000000000093e-01,1.495144620000000035e+00,-7.427000000006955815e-02
3.240000000000000102e-01,1.495069959999999920e+00,-7.504999999991923687e-02
3.250000000000000111e-01,1.494994520000000104e+00,-7.582999999999628926e-02
3.260000000000000120e-01,1.494918299999999922e+00,-7.662000000004809408e-02
3.270000000000000129e-01,1.494841279999999939e+00,-7.742000000007465133e-02
3.280000000000000138e-01,1.494763459999999933e+00,-7.821500000000014552e-02
3.290000000000000147e-01,1.494684850000000065e+00,-7.901999999990039214e-02
3.300000000000000155e-01,1.494605420000000073e+00,-7.983000000001538865e-02
3.310000000000000164e-01,1.494525190000000059e+00,-8.063500000002932211e-02
3.320000000000000173e-01,1.494444150000000082e+00,-8.145500000000538421e-02
3.330000000000000182e-01,1.494362280000000043e+00,-8.227999999996882252e-02
3.340000000000000191e-01,1.494279590000000102e+00,-8.310499999993226083e-02
3.350000000000000200e-01,1.494196070000000098e+00,-8.393499999999676220e-02
3.360000000000000209e-01,1.494111720000000032e+00,-8.477000000004863978e-02
3.370000000000000218e-01,1.494026529999999964e+00,-8.561000000008789357e-02
3.380000000000000226e-01,1.493940499999999894e+00,-8.645500000000083674e-02
3.390000000000000235e-01,1.493853620000000104e+00,-8.730500000001484295e-02
3.400000000000000244e-01,1.493765889999999930e+00,-8.816000000001622539e-02
3.410000000000000253e-01,1.493677300000000097e+00,-8.902000000000498403e-02
3.420000000000000262e-01,1.493587849999999939e+00,-8.988499999998111889e-02
3.430000000000000271e-01,1.493497529999999962e+00,-9.074999999972988007e-02
3.439999999999999725e-01,1.493406350000000105e+00,-9.162500000013551471e-02
3.449999999999999734e-01,1.493314280000000105e+00,-9.250500000007377821e-02
3.459999999999999742e-01,1.493221340000000064e+00,-9.338500000001204171e-02
3.469999999999999751e-01,1.493127510000000102e+00,-9.427500000003874447e-02
3.479999999999999760e-01,1.493032789999999999e+00,-9.516500000006544724e-02
3.489999999999999769e-01,1.492937179999999975e+00,-9.606499999995321559e-02
3.499999999999999778e-01,1.492840659999999930e+00,-9.697000000005573384e-02
3.509999999999999787e-01,1.492743240000000027e+00,-9.787499999993087840e-02
3.519999999999999796e-01,1.492644910000000102e+00,-9.879000000000814907e-02
3.529999999999999805e-01,1.492545659999999996e+00,-9.971000000007279596e-02
3.539999999999999813e-01,1.492445489999999930e+00,-1.006300000000237560e-01
3.549999999999999822e-01,1.492344399999999904e+00,-1.015549999999620923e-01
3.559999999999999831e-01,1.492242379999999979e+00,-1.024899999999888678e-01
3.569999999999999840e-01,1.492139419999999994e+00,-1.034300000001167064e-01
3.579999999999999849e-01,1.492035519999999948e+00,-1.043699999999034844e-01
3.589999999999999858e-01,1.491930680000000065e+00,-1.053199999998923886e-01
3.599999999999999867e-01,1.491824880000000020e+00,-1.062750000000960426e-01
3.609999999999999876e-01,1.491718129999999976e+00,-1.072300000000723230e-01
3.619999999999999885e-01,1.491610419999999992e+00,-1.081899999999222928e-01
3.629999999999999893e-01,1.491501750000000071e+00,-1.091599999998607018e-01
3.639999999999999902e-01,1.491392100000000109e+00,-1.101400000000012369e-01
3.649999999999999911e-01,1.491281470000000109e+00,-1.111150000000407090e-01
3.659999999999999920e-01,1.491169870000000008e+00,-1.121000000000549335e-01
3.669999999999999929e-01,1.491057269999999990e+00,-1.130950000000439104e-01
3.679999999999999938e-01,1.490943679999999993e+00,-1.140849999999318243e-01
3.689999999999999947e-01,1.490829100000000018e+00,-1.150850000000218643e-01
3.699999999999999956e-01,1.490713509999999964e+00,-1.160900000000992804e-01
3.709999999999999964e-01,1.490596919999999992e+00,-1.170999999999366992e-01
3.719999999999999973e-01,1.490479310000000002e+00,-1.181199999999762440e-01
3.729999999999999982e-01,1.490360679999999993e+00,-1.191400000000157888e-01
3.739999999999999991e-01,1.490241029999999967e+00,-1.201699999999163992e-01
3.750000000000000000e-01,1.490120340000000043e+00,-1.211999999999306965e-01
3.760000000000000009e-01,1.489998630000000102e+00,-1.222350000000460568e-01
