frequency,Aol_dB,Aol_arg
3.198530490000000004e+00,3.132881599999999978e+01,1.799999369999999885e+02
3.347745810000000155e+00,3.132881599999999978e+01,1.799999339999999961e+02
3.503922209999999815e+00,3.132881599999999978e+01,1.799999310000000037e+02
3.667384419999999867e+00,3.132881599999999978e+01,1.799999270000000138e+02
3.838472340000000038e+00,3.132881599999999978e+01,1.799999239999999929e+02
4.017541729999999589e+00,3.132881599999999978e+01,1.799999210000000005e+02
4.204964910000000167e+00,3.132881599999999978e+01,1.799999170000000106e+02
4.401131620000000133e+00,3.132881599999999978e+01,1.799999129999999923e+02
4.606449740000000403e+00,3.132881599999999978e+01,1.799999090000000024e+02
4.821346189999999865e+00,3.132881599999999978e+01,1.799999050000000125e+02
5.046267829999999677e+00,3.132881599999999978e+01,1.799998999999999967e+02
5.281682339999999698e+00,3.132881599999999978e+01,1.799998960000000068e+02
5.528079209999999577e+00,3.132881599999999978e+01,1.799998909999999910e+02
5.785970800000000303e+00,3.132881599999999978e+01,1.799998860000000036e+02
6.055893339999999903e+00,3.132881599999999978e+01,1.799998799999999903e+02
6.338408099999999656e+00,3.132881599999999978e+01,1.799998750000000030e+02
6.634102509999999953e+00,3.132881599999999978e+01,1.799998689999999897e+02
6.943591429999999676e+00,3.132881599999999978e+01,1.799998630000000048e+02
7.267518380000000278e+00,3.132881599999999978e+01,1.799998559999999941e+02
7.606556910000000116e+00,3.132881599999999978e+01,1.799998500000000092e+02
7.961412000000000155e+00,3.132881599999999978e+01,1.799998429999999985e+02
8.332821510000000487e+00,3.132881599999999978e+01,1.799998349999999903e+02
8.721557719999999847e+00,3.132881599999999978e+01,1.799998280000000079e+02
9.128428949999999986e+00,3.132881599999999978e+01,1.799998199999999997e+02
9.554281209999999191e+00,3.132881599999999978e+01,1.799998109999999940e+02
1.000000000000000000e+01,3.132881599999999978e+01,1.799998019999999883e+02
1.046651209999999921e+01,3.132881599999999978e+01,1.799997930000000110e+02
1.095478759999999951e+01,3.132881599999999978e+01,1.799997830000000079e+02
1.146584170000000036e+01,3.132881599999999978e+01,1.799997730000000047e+02
1.200073710000000027e+01,3.132881599999999978e+01,1.799997630000000015e+02
1.256058600000000069e+01,3.132881599999999978e+01,1.799997520000000009e+02
1.314655250000000031e+01,3.132881599999999978e+01,1.799997400000000027e+02
1.375985509999999934e+01,3.132881599999999978e+01,1.799997280000000046e+02
1.440176899999999982e+01,3.132881599999999978e+01,1.799997150000000090e+02
1.507362900000000039e+01,3.132881599999999978e+01,1.799997020000000134e+02
1.577683200000000063e+01,3.132881599999999978e+01,1.799996879999999919e+02
1.651284040000000175e+01,3.132881599999999978e+01,1.799996739999999988e+02
1.728318439999999967e+01,3.132881599999999978e+01,1.799996580000000108e+02
1.808946579999999926e+01,3.132881599999999978e+01,1.799996419999999944e+02
1.893336130000000139e+01,3.132881599999999978e+01,1.799996260000000063e+02
1.981662550000000067e+01,3.132881599999999978e+01,1.799996079999999949e+02
2.074109509999999901e+01,3.132881599999999978e+01,1.799995900000000120e+02
2.170869229999999916e+01,3.132881599999999978e+01,1.799995710000000031e+02
2.272142910000000171e+01,3.132881599999999978e+01,1.799995509999999967e+02
2.378141129999999848e+01,3.132881599999999978e+01,1.799995299999999929e+02
2.489084289999999910e+01,3.132881599999999978e+01,1.799995079999999916e+02
2.605203089999999833e+01,3.132881599999999978e+01,1.799994849999999929e+02
2.726738969999999895e+01,3.132881599999999978e+01,1.799994609999999966e+02
2.853944639999999922e+01,3.132881599999999978e+01,1.799994360000000029e+02
2.987084610000000140e+01,3.132881599999999978e+01,1.799994090000000142e+02
3.126435730000000035e+01,3.132881599999999978e+01,1.799993819999999971e+02
3.272287740000000156e+01,3.132881599999999978e+01,1.799993530000000135e+02
3.424943919999999764e+01,3.132881599999999978e+01,1.799993230000000040e+02
3.584721710000000172e+01,3.132881599999999978e+01,1.799992909999999995e+02
3.751953309999999675e+01,3.132881599999999978e+01,1.799992579999999975e+02
3.926986480000000057e+01,3.132881599999999978e+01,1.799992239999999981e+02
4.110185150000000220e+01,3.132881599999999978e+01,1.799991870000000063e+02
4.301930269999999723e+01,3.132881599999999978e+01,1.799991499999999860e+02
4.502620519999999971e+01,3.132881599999999978e+01,1.799991100000000017e+02
4.712673219999999930e+01,3.132881599999999978e+01,1.799990679999999941e+02
4.932525129999999791e+01,3.132881599999999978e+01,1.799990249999999889e+02
5.162633399999999995e+01,3.132881599999999978e+01,1.799989789999999914e+02
5.403476500000000016e+01,3.132881599999999978e+01,1.799989319999999964e+02
5.655555230000000222e+01,3.132881599999999978e+01,1.799988820000000089e+02
5.919393720000000059e+01,3.132881599999999978e+01,1.799988299999999981e+02
6.195540609999999759e+01,3.132881599999999978e+01,1.799987749999999949e+02
6.484570080000000303e+01,3.132881599999999978e+01,1.799987179999999967e+02
6.787083130000000608e+01,3.132881599999999978e+01,1.799986580000000060e+02
7.103708770000000072e+01,3.132881599999999978e+01,1.799985959999999920e+02
7.435105389999999659e+01,3.132881599999999978e+01,1.799985299999999881e+02
7.781962059999999326e+01,3.132881599999999978e+01,1.799984619999999893e+02
8.145000009999999691e+01,3.132881599999999978e+01,1.799983900000000006e+02
8.524974120000000255e+01,3.132881599999999978e+01,1.799983149999999910e+02
8.922674489999999992e+01,3.132881599999999978e+01,1.799982359999999915e+02
9.338928049999999814e+01,3.132881599999999978e+01,1.799981539999999995e+02
9.774600359999999455e+01,3.132881599999999978e+01,1.799980679999999893e+02
1.023059729999999945e+02,3.132881599999999978e+01,1.799979769999999917e+02
1.070786700000000025e+02,3.132881599999999978e+01,1.799978830000000016e+02
1.120740200000000044e+02,3.132881599999999978e+01,1.799977839999999958e+02
1.173024089999999973e+02,3.132881599999999978e+01,1.799976810000000000e+02
1.227747080000000039e+02,3.132881599999999978e+01,1.799975729999999885e+02
1.285022969999999987e+02,3.132881599999999978e+01,1.799974599999999896e+02
1.344970849999999984e+02,3.132881599999999978e+01,1.799973410000000058e+02
1.407715369999999950e+02,3.132881599999999978e+01,1.799972170000000062e+02
1.473386989999999912e+02,3.132881599999999978e+01,1.799970869999999934e+02
1.542122280000000103e+02,3.132881599999999978e+01,1.799969509999999957e+02
1.614064150000000097e+02,3.132881599999999978e+01,1.799968090000000132e+02
1.689362199999999916e+02,3.132881599999999978e+01,1.799966599999999914e+02
1.768172989999999913e+02,3.132881599999999978e+01,1.799965039999999874e+02
1.850660399999999868e+02,3.132881599999999978e+01,1.799963410000000010e+02
1.936995949999999880e+02,3.132881599999999978e+01,1.799961710000000039e+02
2.027359160000000031e+02,3.132881599999999978e+01,1.799959920000000011e+02
2.121937920000000020e+02,3.132881599999999978e+01,1.799958049999999901e+02
2.220928890000000138e+02,3.132881599999999978e+01,1.799956090000000017e+02
2.324537909999999954e+02,3.132881599999999978e+01,1.799954050000000052e+02
2.432980420000000095e+02,3.132881599999999978e+01,1.799951900000000080e+02
2.546481899999999996e+02,3.132881599999999978e+01,1.799949660000000051e+02
2.665278369999999768e+02,3.132881599999999978e+01,1.799947310000000016e+02
2.789616829999999936e+02,3.132881599999999978e+01,1.799944849999999974e+02
2.919755829999999719e+02,3.132881599999999978e+01,1.799942279999999926e+02
3.055965979999999718e+02,3.132881599999999978e+01,1.799939589999999896e+02
3.198530489999999986e+02,3.132881599999999978e+01,1.799936769999999910e+02
3.347745810000000120e+02,3.132881599999999978e+01,1.799933819999999969e+02
3.503922210000000064e+02,3.132881599999999978e+01,1.799930730000000096e+02
3.667384420000000205e+02,3.132881599999999978e+01,1.799927500000000009e+02
3.838472340000000145e+02,3.132881599999999978e+01,1.799924120000000016e+02
4.017541729999999802e+02,3.132881599999999978e+01,1.799920579999999859e+02
4.204964909999999918e+02,3.132881589999999861e+01,1.799916870000000131e+02
4.401131619999999884e+02,3.132881589999999861e+01,1.799912989999999979e+02
4.606449739999999906e+02,3.132881589999999861e+01,1.799908929999999998e+02
4.821346189999999865e+02,3.132881589999999861e+01,1.799904689999999903e+02
5.046267829999999890e+02,3.132881589999999861e+01,1.799900240000000053e+02
5.281682339999999840e+02,3.132881589999999861e+01,1.799895590000000141e+02
5.528079209999999648e+02,3.132881589999999861e+01,1.799890709999999956e+02
5.785970800000000054e+02,3.132881589999999861e+01,1.799885620000000017e+02
6.055893340000000080e+02,3.132881580000000099e+01,1.799880280000000141e+02
6.338408100000000331e+02,3.132881580000000099e+01,1.799874700000000018e+02
6.634102510000000166e+02,3.132881580000000099e+01,1.799868850000000009e+02
6.943591430000000173e+02,3.132881580000000099e+01,1.799862730000000113e+02
7.267518380000000207e+02,3.132881580000000099e+01,1.799856330000000071e+02
7.606556910000000471e+02,3.132881569999999982e+01,1.799849619999999959e+02
7.961412000000000262e+02,3.132881569999999982e+01,1.799842610000000036e+02
8.332821509999999989e+02,3.132881569999999982e+01,1.799835270000000094e+02
8.721557719999999563e+02,3.132881559999999865e+01,1.799827579999999898e+02
9.128428949999999986e+02,3.132881559999999865e+01,1.799819540000000018e+02
9.554281210000000328e+02,3.132881559999999865e+01,1.799811119999999960e+02
1.000000000000000000e+03,3.132881550000000104e+01,1.799802310000000034e+02
1.046651209999999992e+03,3.132881550000000104e+01,1.799793090000000007e+02
1.095478759999999966e+03,3.132881539999999987e+01,1.799783429999999953e+02
1.146584170000000086e+03,3.132881539999999987e+01,1.799773329999999874e+02
1.200073709999999892e+03,3.132881529999999870e+01,1.799762760000000128e+02
1.256058600000000069e+03,3.132881520000000108e+01,1.799751689999999940e+02
1.314655250000000024e+03,3.132881509999999992e+01,1.799740099999999927e+02
1.375985509999999977e+03,3.132881509999999992e+01,1.799727980000000116e+02
1.440176899999999932e+03,3.132881499999999875e+01,1.799715290000000039e+02
1.507362900000000081e+03,3.132881490000000113e+01,1.799702010000000030e+02
1.577683199999999943e+03,3.132881479999999996e+01,1.799688109999999881e+02
1.651284040000000005e+03,3.132881460000000118e+01,1.799673559999999952e+02
1.728318440000000010e+03,3.132881450000000001e+01,1.799658330000000035e+02
1.808946580000000040e+03,3.132881430000000123e+01,1.799642389999999921e+02
1.893336129999999912e+03,3.132881420000000006e+01,1.799625699999999995e+02
1.981662550000000010e+03,3.132881400000000127e+01,1.799608240000000023e+02
2.074109509999999773e+03,3.132881379999999893e+01,1.799589970000000108e+02
2.170869229999999789e+03,3.132881360000000015e+01,1.799570840000000089e+02
2.272142910000000029e+03,3.132881340000000137e+01,1.799550820000000044e+02
2.378141129999999976e+03,3.132881310000000141e+01,1.799529860000000099e+02
2.489084289999999783e+03,3.132881280000000146e+01,1.799507930000000044e+02
2.605203089999999975e+03,3.132881250000000151e+01,1.799484970000000033e+02
2.726738969999999881e+03,3.132881220000000155e+01,1.799460950000000139e+02
2.853944640000000163e+03,3.132881180000000043e+01,1.799435799999999972e+02
2.987084609999999884e+03,3.132881139999999931e+01,1.799409479999999917e+02
3.126435730000000149e+03,3.132881100000000174e+01,1.799381930000000125e+02
3.272287740000000213e+03,3.132881049999999945e+01,1.799353099999999870e+02
3.424943920000000162e+03,3.132881000000000071e+01,1.799322919999999897e+02
3.584721709999999803e+03,3.132880940000000081e+01,1.799291330000000073e+02
3.751953309999999874e+03,3.132880880000000090e+01,1.799258269999999982e+02
3.926986480000000029e+03,3.132880809999999983e+01,1.799223670000000084e+02
4.110185150000000249e+03,3.132880730000000113e+01,1.799187450000000013e+02
4.301930269999999837e+03,3.132880649999999889e+01,1.799149549999999920e+02
4.502620520000000397e+03,3.132880559999999903e+01,1.799109870000000058e+02
4.712673219999999674e+03,3.132880460000000156e+01,1.799068350000000009e+02
4.932525129999999990e+03,3.132880349999999936e+01,1.799024880000000053e+02
5.162633399999999710e+03,3.132880229999999955e+01,1.798979390000000080e+02
5.403476499999999760e+03,3.132880099999999857e+01,1.798931780000000060e+02
5.655555229999999938e+03,3.132879949999999880e+01,1.798881949999999961e+02
5.919393720000000030e+03,3.132879799999999904e+01,1.798829790000000060e+02
6.195540610000000015e+03,3.132879619999999932e+01,1.798775200000000041e+02
6.484570080000000416e+03,3.132879429999999843e+01,1.798718059999999923e+02
6.787083129999999983e+03,3.132879229999999993e+01,1.798658250000000010e+02
7.103708770000000186e+03,3.132879000000000147e+01,1.798595660000000009e+02
7.435105389999999716e+03,3.132878750000000068e+01,1.798530149999999992e+02
7.781962059999999838e+03,3.132878480000000110e+01,1.798461580000000026e+02
8.145000009999999747e+03,3.132878180000000157e+01,1.798389809999999898e+02
8.524974120000000767e+03,3.132877859999999970e+01,1.798314689999999985e+02
8.922674489999999423e+03,3.132877500000000026e+01,1.798236070000000097e+02
9.338928050000000439e+03,3.132877110000000087e+01,1.798153780000000097e+02
9.774600360000000364e+03,3.132876680000000036e+01,1.798067650000000128e+02
1.023059729999999945e+04,3.132876209999999872e+01,1.797977510000000052e+02
1.070786700000000019e+04,3.132875689999999835e+01,1.797883160000000089e+02
1.120740200000000004e+04,3.132875130000000041e+01,1.797784399999999891e+02
1.173024090000000069e+04,3.132874509999999901e+01,1.797681039999999939e+02
1.227747079999999914e+04,3.132873830000000126e+01,1.797572859999999935e+02
1.285022969999999987e+04,3.132873090000000005e+01,1.797459639999999865e+02
1.344970850000000064e+04,3.132872270000000015e+01,1.797341130000000078e+02
1.407715370000000075e+04,3.132871379999999917e+01,1.797217090000000042e+02
1.473386989999999969e+04,3.132870409999999950e+01,1.797087260000000128e+02
1.542122279999999955e+04,3.132869339999999880e+01,1.796951379999999858e+02
1.614064149999999972e+04,3.132868170000000063e+01,1.796809169999999938e+02
1.689362199999999939e+04,3.132866879999999910e+01,1.796660310000000038e+02
1.768172989999999845e+04,3.132865479999999891e+01,1.796504520000000014e+02
1.850660399999999936e+04,3.132863940000000014e+01,1.796341449999999895e+02
1.936995950000000084e+04,3.132862250000000159e+01,1.796170779999999922e+02
2.027359159999999974e+04,3.132860409999999973e+01,1.795992149999999867e+02
2.121937919999999940e+04,3.132858380000000054e+01,1.795805180000000121e+02
2.220928889999999956e+04,3.132856170000000162e+01,1.795609499999999912e+02
2.324537909999999829e+04,3.132853739999999831e+01,1.795404680000000042e+02
2.432980419999999867e+04,3.132851080000000010e+01,1.795190320000000099e+02
2.546481899999999951e+04,3.132848159999999993e+01,1.794965950000000134e+02
2.665278369999999995e+04,3.132844970000000018e+01,1.794731119999999862e+02
2.789616830000000118e+04,3.132841469999999973e+01,1.794485329999999976e+02
2.919755830000000060e+04,3.132837639999999979e+01,1.794228090000000009e+02
3.055965980000000127e+04,3.132833439999999925e+01,1.793958839999999952e+02
3.198530489999999918e+04,3.132828840000000170e+01,1.793677030000000059e+02
3.347745810000000347e+04,3.132823810000000009e+01,1.793382080000000087e+02
3.503922209999999905e+04,3.132818290000000161e+01,1.793073379999999872e+02
3.667384419999999955e+04,3.132812240000000159e+01,1.792750279999999918e+02
3.838472340000000258e+04,3.132805619999999891e+01,1.792412109999999927e+02
4.017541730000000098e+04,3.132798370000000077e+01,1.792058169999999961e+02
4.204964910000000236e+04,3.132790419999999898e+01,1.791687719999999899e+02
4.401131620000000112e+04,3.132781719999999837e+01,1.791299999999999955e+02
4.606449740000000020e+04,3.132772179999999906e+01,1.790894199999999898e+02
4.821346190000000206e+04,3.132761730000000000e+01,1.790469479999999862e+02
5.046267829999999958e+04,3.132750289999999893e+01,1.790024960000000078e+02
5.281682340000000113e+04,3.132737759999999838e+01,1.789559710000000052e+02
5.528079209999999875e+04,3.132724019999999854e+01,1.789072779999999909e+02
5.785970799999999872e+04,3.132708979999999954e+01,1.788563139999999976e+02
6.055893340000000171e+04,3.132692499999999924e+01,1.788029750000000035e+02
6.338408099999999831e+04,3.132674450000000022e+01,1.787471500000000049e+02
6.634102509999999893e+04,3.132654679999999914e+01,1.786887220000000127e+02
6.943591430000000400e+04,3.132633020000000101e+01,1.786275730000000124e+02
7.267518379999999888e+04,3.132609289999999902e+01,1.785635729999999910e+02
7.606556909999999334e+04,3.132583299999999937e+01,1.784965919999999926e+02
7.961411999999999534e+04,3.132554830000000123e+01,1.784264909999999986e+02
8.332821510000000126e+04,3.132523640000000142e+01,1.783531240000000082e+02
8.721557719999999972e+04,3.132489479999999915e+01,1.782763400000000047e+02
9.128428949999999895e+04,3.132452059999999960e+01,1.781959809999999891e+02
9.554281209999999555e+04,3.132411069999999853e+01,1.781118810000000110e+02
1.000000000000000000e+05,3.132366169999999883e+01,1.780238659999999982e+02
1.046651209999999992e+05,3.132316989999999990e+01,1.779317550000000097e+02
1.095478760000000038e+05,3.132263120000000001e+01,1.778353580000000136e+02
1.146584170000000013e+05,3.132204109999999986e+01,1.777344779999999957e+02
1.200073709999999992e+05,3.132139480000000020e+01,1.776289060000000006e+02
1.256058600000000006e+05,3.132068689999999833e+01,1.775184260000000052e+02
1.314655249999999942e+05,3.131991160000000107e+01,1.774028120000000115e+02
1.375985510000000068e+05,3.131906229999999880e+01,1.772818269999999927e+02
1.440176900000000023e+05,3.131813220000000086e+01,1.771552240000000040e+02
1.507362900000000081e+05,3.131711350000000138e+01,1.770227439999999888e+02
1.577683200000000070e+05,3.131599780000000166e+01,1.768841180000000008e+02
1.651284040000000095e+05,3.131477590000000077e+01,1.767390640000000133e+02
1.728318440000000119e+05,3.131343770000000148e+01,1.765872880000000009e+02
1.808946579999999958e+05,3.131197230000000076e+01,1.764284820000000025e+02
1.893336130000000121e+05,3.131036750000000168e+01,1.762623260000000016e+02
1.981662550000000047e+05,3.130861009999999922e+01,1.760884869999999864e+02
2.074109510000000009e+05,3.130668580000000034e+01,1.759066139999999905e+02
2.170869230000000098e+05,3.130457870000000042e+01,1.757163449999999898e+02
2.272142909999999974e+05,3.130227160000000097e+01,1.755173010000000033e+02
2.378141130000000121e+05,3.129974569999999900e+01,1.753090870000000052e+02
2.489084290000000037e+05,3.129698020000000014e+01,1.750912920000000099e+02
2.605203090000000084e+05,3.129395269999999840e+01,1.748634879999999896e+02
2.726738969999999972e+05,3.129063860000000119e+01,1.746252310000000136e+02
2.853944639999999781e+05,3.128701099999999968e+01,1.743760570000000030e+02
2.987084610000000102e+05,3.128304040000000086e+01,1.741154870000000017e+02
3.126435729999999749e+05,3.127869499999999903e+01,1.738430219999999906e+02
3.272287739999999758e+05,3.127393959999999851e+01,1.735581439999999986e+02
3.424943919999999925e+05,3.126873610000000170e+01,1.732603169999999864e+02
3.584721709999999730e+05,3.126304299999999969e+01,1.729489869999999883e+02
3.751953310000000056e+05,3.125681489999999840e+01,1.726235780000000091e+02
3.926986479999999865e+05,3.125000229999999846e+01,1.722834990000000062e+02
4.110185150000000140e+05,3.124255150000000114e+01,1.719281389999999874e+02
4.301930270000000019e+05,3.123440400000000139e+01,1.715568660000000136e+02
4.502620520000000251e+05,3.122549610000000087e+01,1.711690340000000106e+02
4.712673219999999856e+05,3.121575860000000091e+01,1.707639780000000087e+02
4.932525129999999772e+05,3.120511630000000025e+01,1.703410189999999886e+02
5.162633400000000256e+05,3.119348790000000093e+01,1.698994590000000073e+02
5.403476500000000233e+05,3.118078470000000024e+01,1.694385900000000049e+02
5.655555230000000447e+05,3.116691120000000126e+01,1.689576930000000061e+02
5.919393719999999739e+05,3.115176380000000123e+01,1.684560380000000066e+02
6.195540609999999870e+05,3.113523049999999870e+01,1.679328879999999913e+02
6.484570080000000307e+05,3.111719060000000070e+01,1.673875050000000044e+02
6.787083129999999655e+05,3.109751400000000032e+01,1.668191480000000126e+02
7.103708769999999786e+05,3.107606039999999936e+01,1.662270819999999958e+02
7.435105389999999898e+05,3.105267949999999999e+01,1.656105809999999963e+02
7.781962060000000056e+05,3.102720980000000139e+01,1.649689329999999927e+02
8.145000010000000475e+05,3.099947879999999856e+01,1.643014450000000011e+02
8.524974120000000112e+05,3.096930180000000021e+01,1.636074529999999925e+02
8.922674490000000224e+05,3.093648260000000150e+01,1.628863249999999994e+02
9.338928050000000512e+05,3.090081209999999956e+01,1.621374749999999949e+02
9.774600359999999637e+05,3.086206930000000170e+01,1.613603650000000016e+02
1.023059729999999981e+06,3.082002029999999948e+01,1.605545199999999966e+02
1.070786699999999953e+06,3.077441909999999936e+01,1.597195360000000051e+02
1.120740199999999953e+06,3.072500739999999908e+01,1.588550920000000133e+02
1.173024090000000084e+06,3.067151550000000171e+01,1.579609580000000051e+02
1.227747080000000075e+06,3.061366269999999901e+01,1.570370120000000043e+02
1.285022969999999972e+06,3.055115849999999966e+01,1.560832479999999975e+02
1.344970850000000093e+06,3.048370329999999839e+01,1.550997900000000129e+02
1.407715370000000112e+06,3.041099069999999926e+01,1.540869030000000066e+02
1.473386989999999991e+06,3.033270840000000135e+01,1.530450020000000109e+02
1.542122280000000028e+06,3.024854110000000063e+01,1.519746670000000108e+02
1.614064149999999907e+06,3.015817200000000042e+01,1.508766459999999938e+02
1.689362199999999953e+06,3.006128620000000140e+01,1.497518699999999967e+02
1.768172989999999991e+06,2.995757340000000113e+01,1.486014509999999973e+02
1.850660399999999907e+06,2.984673069999999839e+01,1.474266880000000128e+02
1.936995949999999953e+06,2.972846619999999973e+01,1.462290710000000047e+02
2.027359159999999916e+06,2.960250269999999873e+01,1.450102740000000097e+02
2.121937919999999925e+06,2.946858050000000162e+01,1.437721490000000131e+02
2.220928890000000130e+06,2.932646150000000063e+01,1.425167209999999898e+02
2.324537910000000149e+06,2.917593219999999832e+01,1.412461729999999989e+02
2.432980419999999925e+06,2.901680659999999889e+01,1.399628309999999942e+02
2.546481899999999907e+06,2.884892980000000051e+01,1.386691419999999937e+02
2.665278370000000112e+06,2.867217940000000098e+01,1.373676580000000058e+02
2.789616830000000075e+06,2.848646820000000091e+01,1.360610069999999894e+02
2.919755830000000075e+06,2.829174529999999876e+01,1.347518689999999992e+02
3.055965979999999981e+06,2.808799709999999905e+01,1.334429460000000063e+02
3.198530490000000224e+06,2.787524739999999923e+01,1.321369390000000124e+02
3.347745810000000056e+06,2.765355680000000049e+01,1.308365139999999940e+02
3.503922209999999963e+06,2.742302240000000069e+01,1.295442810000000122e+02
3.667384419999999925e+06,2.718377530000000064e+01,1.282627620000000093e+02
3.838472339999999851e+06,2.693597929999999963e+01,1.269943710000000010e+02
4.017541729999999981e+06,2.667982800000000054e+01,1.257413949999999971e+02
4.204964910000000149e+06,2.641554190000000091e+01,1.245059689999999932e+02
4.401131620000000112e+06,2.614336520000000164e+01,1.232900700000000001e+02
